n,a_circ,quantity,mean,std,min,max
1.2,24.0,lamA_sites,5.85784951600173,0.003351829479346683,5.852200788641332,5.862566200077181
1.2,24.0,lamA_an,5.8562342939789644,0.010532250908933826,5.8314389090520535,5.8690181108199795
1.2,30.0,lamA_sites,5.894782922992439,0.006274483638109475,5.88792839037032,5.913187509311094
1.2,30.0,lamA_an,5.895082764898536,0.019118838396425107,5.866006102341492,5.943267212643378
1.2,36.0,lamA_sites,5.920790809455694,0.00442145541164512,5.912907701881897,5.926533867451489
1.2,36.0,lamA_an,5.920351705640221,0.00966276404033194,5.9005950557040014,5.9313099000583085
1.2,48.0,lamA_sites,5.949756490462576,0.002030867322419709,5.946852553342281,5.952211516850571
1.2,48.0,lamA_an,5.950926796797262,0.006443849017474377,5.932594556273442,5.956586895403007
2.0,24.0,lamA_sites,5.605981987335907,0.002005647467895336,5.599108399122549,5.607578558246284
2.0,24.0,lamA_an,5.613777953422019,0.01704727534737781,5.5933526280209085,5.663447658178711
2.0,30.0,lamA_sites,5.641576922799333,0.0011147646725858456,5.639712421713096,5.64290222080403
2.0,30.0,lamA_an,5.644846948469912,0.013364771178934406,5.625856891968661,5.67672168073039
2.0,36.0,lamA_sites,5.665410032622381,0.0006840162539356983,5.664420105299987,5.6661772681434
2.0,36.0,lamA_an,5.669171727340306,0.008704286119958752,5.659927345404882,5.691666492108689
2.0,48.0,lamA_sites,5.694823505220399,0.0006103794407726597,5.693018049019858,5.695418661832815
2.0,48.0,lamA_an,5.696543344672008,0.008804512593217967,5.686172030907982,5.71610085139332
3.0,24.0,lamA_sites,5.6584463026514715,0.004057327504289525,5.643538139709201,5.6612405498194
3.0,24.0,lamA_an,5.6545591926256105,0.015231015940137258,5.623516533556939,5.670580479709827
3.0,30.0,lamA_sites,5.699281313197452,0.004546143500291736,5.691895424410959,5.705840907359873
3.0,30.0,lamA_an,5.695031998431267,0.01677623743974608,5.664714947306491,5.741960166237358
3.0,36.0,lamA_sites,5.728250533819288,0.005999457241861986,5.718855769551116,5.738102938068554
3.0,36.0,lamA_an,5.730343545264777,0.02223029061303736,5.701357637913701,5.7871462765341875
3.0,48.0,lamA_sites,5.7626955545252425,0.002645818381359408,5.754175547231544,5.76458059102398
3.0,48.0,lamA_an,5.7620450991202645,0.009707091361925383,5.745626023423711,5.775698061287358
4.0,24.0,lamA_sites,5.733472198370778,0.008422817790481152,5.719344111150619,5.742970868175987
4.0,24.0,lamA_an,5.727204158976601,0.025461362499749063,5.670948646101408,5.751098644938196
4.0,30.0,lamA_sites,5.780411895779536,0.010248182420028312,5.762630304649527,5.792610723190491
4.0,30.0,lamA_an,5.778170208910449,0.024297705304007048,5.712992050279374,5.803127860696477
4.0,36.0,lamA_sites,5.812139063940581,0.007210380902582506,5.797801492773323,5.8193020127837265
4.0,36.0,lamA_an,5.811757101319129,0.022124754669681234,5.761721363769226,5.830670899564496
4.0,48.0,lamA_sites,5.852892011112947,0.007120111224319474,5.837366283532134,5.859743846950511
4.0,48.0,lamA_an,5.85589323417399,0.018153196007042276,5.812656030161293,5.873242298671585
1.2,72.0,lamA_sites,5.980188520707106,0.0019178362180358975,5.977076571163454,5.984553808341311
1.2,72.0,lamA_an,5.979622715844074,0.00441275177297315,5.971582514029904,5.988972653796252
4.0,72.0,lamA_sites,5.889159184006256,0.004031638170353143,5.884063754944066,5.898058753248318
4.0,72.0,lamA_an,5.886894522605811,0.01027181710073669,5.867137593744928,5.908949378036682
