n,lamA_an_intercept,lamA_an_slope_vs_inv_a,std_power_exponent
1.2,6.042774722934743,-4.448402454652183,-1.0769580571977186
2.0,5.779600471638553,-3.9969053607638476,-1.023579066588006
3.0,5.872456570200932,-5.241004951241694,-0.563773567054855
4.0,5.972464582328409,-5.835663168407846,-0.8292738062821391
