n,a,theta_deg,x0,y0,grid,N_sites,E0,E1,E2,E3,Ekin0,lamA_sites,lamA_an,S_lat
1.2,34.66908837111368,0.0,0.375,0.375,8x8,2821,-3.9934275512963615,-3.983534044701058,-3.9834340113673106,-3.972928675783491,0.006572448703638489,5.901744700026,5.915203833274641,0.015220101100545799
1.2,34.66908837111368,0.0,0.375,0.5,8x8,2828,-3.9934403501993576,-3.983523102877035,-3.9835135006830296,-3.973002085914951,0.0065596498006423865,5.904867906734952,5.903684820578149,0.0014638272311905138
1.2,34.66908837111368,0.0,0.375,0.625,8x8,2821,-3.993427551296361,-3.9835340447010585,-3.9834340113673106,-3.9729286757834914,0.006572448703638933,5.9017447000263985,5.915203833275041,0.01522010110061234
1.2,34.66908837111368,0.0,0.375,0.75,8x8,2828,-3.9934524774081703,-3.9835787094866495,-3.9834973062044474,-3.9729454898760674,0.006547522591829669,5.893951231562831,5.892770332646704,0.012432684432987538
1.2,34.66908837111368,0.0,0.375,0.875,8x8,2833,-3.993467376645776,-3.9835848068381,-3.9835566123975594,-3.9729580529749122,0.006532623354224221,5.890936223501152,5.8793610188017995,0.004315944607803368
1.2,34.66908837111368,0.0,0.5,0.0,4x4+8x8,2838,-3.9934822154418432,-3.9836121864173784,-3.9835988427617126,-3.9729958336920372,0.0065177845581567695,5.887928390369919,5.866006102341093,0.002047268599733604
1.2,34.66908837111368,0.0,0.5,0.125,8x8,2834,-3.993472667781233,-3.983582215951455,-3.983581243666501,-3.9729570610794056,0.00652733221876689,5.888242540562283,5.874598996890202,0.0001489559473517291
1.2,34.66908837111368,0.0,0.5,0.25,4x4+8x8,2830,-3.9934572619910935,-3.983548332799156,-3.983545211056493,-3.9729307247208223,0.006542738008906479,5.893809480375433,5.888464208015832,0.0004771309287927226
1.2,34.66908837111368,0.0,0.5,0.375,8x8,2828,-3.9934403501993576,-3.9835231028770353,-3.9835135006830296,-3.9730020859149504,0.0065596498006423865,5.904867906734952,5.903684820578149,0.001463827231258214
1.2,34.66908837111368,0.0,0.5,0.5,4x4+8x8,2804,-3.99339636976373,-3.983409696748454,-3.9834096967484536,-3.9728422095807883,0.006603630236269975,5.894010212095045,5.9432672126429775,6.724925441932437e-14
1.2,34.66908837111368,0.0,0.5,0.625,8x8,2828,-3.993440350199357,-3.9835231028770353,-3.98351350068303,-3.9730020859149495,0.0065596498006428305,5.904867906735353,5.903684820578548,0.0014638272311904147
1.2,34.66908837111368,0.0,0.5,0.75,4x4+8x8,2830,-3.9934572619910944,-3.9835483327991565,-3.983545211056493,-3.972930724720822,0.006542738008905591,5.893809480374633,5.888464208015033,0.0004771309288606625
1.2,34.66908837111368,0.0,0.5,0.875,8x8,2834,-3.993472667781233,-3.983582215951455,-3.983581243666501,-3.9729570610794056,0.00652733221876689,5.888242540562283,5.874598996890202,0.0001489559473517291
1.2,34.66908837111368,0.0,0.625,0.0,8x8,2832,-3.9934649485524236,-3.983575602702602,-3.9835517601995485,-3.9729381799270613,0.006535051447576379,5.8910456383925744,5.881546302818742,0.003648403267351901
1.2,34.66908837111368,0.0,0.625,0.125,8x8,2833,-3.9934673766457762,-3.9835848068380995,-3.983556612397559,-3.9729580529749127,0.006532623354223777,5.890936223500751,5.8793610188014,0.004315944607803661
1.2,34.66908837111368,0.0,0.625,0.25,8x8,2828,-3.993452477408171,-3.9835787094866504,-3.9834973062044474,-3.972945489876068,0.0065475225918287805,5.893951231562031,5.892770332645903,0.012432684433124874
1.2,34.66908837111368,0.0,0.625,0.375,8x8,2821,-3.9934275512963624,-3.983534044701059,-3.983434011367311,-3.972928675783491,0.006572448703637601,5.901744700025202,5.915203833273842,0.015220101100615425
1.2,34.66908837111368,0.0,0.625,0.5,8x8,2828,-3.9934403501993567,-3.9835231028770353,-3.9835135006830296,-3.9730020859149495,0.006559649800643275,5.9048679067357535,5.903684820578948,0.0014638272312580158
1.2,34.66908837111368,0.0,0.625,0.625,8x8,2821,-3.9934275512963624,-3.9835340447010594,-3.9834340113673115,-3.9729286757834914,0.006572448703637601,5.901744700025202,5.915203833273842,0.015220101100615425
1.2,34.66908837111368,0.0,0.625,0.75,8x8,2828,-3.993452477408171,-3.98357870948665,-3.9834973062044465,-3.9729454898760665,0.0065475225918287805,5.893951231562031,5.892770332645903,0.0124326844331927
1.2,34.66908837111368,0.0,0.625,0.875,8x8,2833,-3.993467376645777,-3.9835848068381,-3.98355661239756,-3.972958052974913,0.006532623354222888,5.89093622349995,5.8793610188006005,0.004315944607736268
1.2,34.66908837111368,0.0,0.75,0.0,4x4+8x8,2829,-3.9934593241909626,-3.983557660460193,-3.983545730218314,-3.972937764469289,0.006540675809037388,5.889869853949193,5.8866082281336505,0.0018240075226415215
1.2,34.66908837111368,0.0,0.75,0.125,8x8,2827,-3.9934492452842623,-3.9835718449223947,-3.9834878085243606,-3.972931087023468,0.006550754715737739,5.8947755560319255,5.895679244163966,0.012828506283745222
1.2,34.66908837111368,0.0,0.75,0.25,4x4+8x8,2825,-3.993439143794952,-3.9835814556607936,-3.983438494293068,-3.9729454281341545,0.006560856205048093,5.899688732109238,5.904770584543285,0.021790047405053255
1.2,34.66908837111368,0.0,0.75,0.375,8x8,2828,-3.9934524774081708,-3.9835787094866504,-3.9834973062044474,-3.9729454898760665,0.006547522591829225,5.893951231562432,5.892770332646303,0.01243268443312403
1.2,34.66908837111368,0.0,0.75,0.5,4x4+8x8,2830,-3.993457261991095,-3.983548332799157,-3.983545211056493,-3.972930724720821,0.006542738008905147,5.893809480374233,5.888464208014633,0.00047713092892857006
1.2,34.66908837111368,0.0,0.75,0.625,8x8,2828,-3.9934524774081708,-3.9835787094866504,-3.9834973062044474,-3.972945489876067,0.006547522591829225,5.893951231562432,5.892770332646303,0.01243268443312403
1.2,34.66908837111368,0.0,0.75,0.75,4x4+8x8,2825,-3.9934391437949524,-3.983581455660794,-3.9834384942930687,-3.972945428134154,0.006560856205047649,5.89968873210884,5.904770584542885,0.021790047404987044
1.2,34.66908837111368,0.0,0.75,0.875,8x8,2827,-3.9934492452842627,-3.9835718449223956,-3.983487808524362,-3.9729310870234684,0.006550754715737295,5.894775556031527,5.895679244163566,0.0128285062836783
1.2,34.66908837111368,0.0,0.875,0.0,8x8,2823,-3.9934288039327037,-3.9834946745911233,-3.98347600028261,-3.9729152068374773,0.006571196067296281,5.904803245825133,5.914076460566654,0.002841843147286556
1.2,34.66908837111368,0.0,0.875,0.125,8x8,2825,-3.993435378507979,-3.983553318434398,-3.983456159610471,-3.9729708486707724,0.006564621492020972,5.903074573900735,5.908159342818876,0.014800369533144809
1.2,34.66908837111368,0.0,0.875,0.25,8x8,2827,-3.9934492452842627,-3.9835718449223947,-3.9834878085243606,-3.972931087023468,0.006550754715737295,5.894775556031527,5.895679244163566,0.01282850628374609
1.2,34.66908837111368,0.0,0.875,0.375,8x8,2833,-3.9934673766457767,-3.9835848068381,-3.98355661239756,-3.9729580529749122,0.0065326233542233325,5.8909362235003515,5.879361018801,0.004315944607735974
1.2,34.66908837111368,0.0,0.875,0.5,8x8,2834,-3.9934726677812327,-3.983582215951455,-3.9835812436665012,-3.972957061079405,0.006527332218767334,5.888242540562683,5.874598996890601,0.00014895594728368364
1.2,34.66908837111368,0.0,0.875,0.625,8x8,2833,-3.9934673766457767,-3.9835848068381,-3.98355661239756,-3.9729580529749122,0.0065326233542233325,5.8909362235003515,5.879361018801,0.004315944607735974
1.2,34.66908837111368,0.0,0.875,0.75,8x8,2827,-3.993449245284263,-3.983571844922396,-3.983487808524362,-3.9729310870234684,0.006550754715736851,5.894775556031127,5.8956792441631665,0.01282850628374696
1.2,34.66908837111368,0.0,0.875,0.875,8x8,2825,-3.993435378507979,-3.9835533184343985,-3.983456159610472,-3.972970848670773,0.006564621492020972,5.903074573900735,5.908159342818876,0.014800369533077161
1.2,34.66908837111368,11.25,0.0,0.0,4x4,2837,-3.9934728272503315,-3.9835926801727495,-3.983592680172749,-3.973059041183633,0.0065271727496685195,5.894331675893804,5.874455474701668,6.80369934858267e-14
1.2,34.66908837111368,11.25,0.0,0.25,4x4,2827,-3.9934424561083905,-3.9835252418945166,-3.9835107153717466,-3.972951102177688,0.006557543891609452,5.9008848777377185,5.901789502448508,0.00221523835907461
1.2,34.66908837111368,11.25,0.0,0.5,4x4,2822,-3.9934451994331988,-3.983525403902893,-3.983512996371203,-3.9729075667362874,0.006554800566801244,5.887983974744933,5.89932051012112,0.0018928923258038674
1.2,34.66908837111368,11.25,0.0,0.75,4x4,2827,-3.993442456108391,-3.983525241894517,-3.9835107153717475,-3.972951102177689,0.006557543891609008,5.900884877737319,5.901789502448109,0.002215238359007038
1.2,34.66908837111368,11.25,0.25,0.0,4x4,2827,-3.993442456108391,-3.9835252418945166,-3.983510715371747,-3.972951102177688,0.006557543891609008,5.900884877737319,5.901789502448109,0.002215238359007038
1.2,34.66908837111368,11.25,0.25,0.25,4x4,2827,-3.9934460849719704,-3.983551860382115,-3.983501186888442,-3.9729619114990418,0.0065539150280296,5.897619401123964,5.898523525226642,0.007731789847204306
1.2,34.66908837111368,11.25,0.25,0.5,4x4,2831,-3.993450885253228,-3.983564295291327,-3.9835169616728585,-3.9730008182990773,0.006549114746771778,5.901638402077762,5.894203272094601,0.007227483453644903
1.2,34.66908837111368,11.25,0.25,0.75,4x4,2827,-3.993446084971971,-3.9835518603821156,-3.983501186888444,-3.9729619114990413,0.006553915028029156,5.897619401123563,5.898523525226241,0.007731789847001552
1.2,34.66908837111368,11.25,0.5,0.0,4x4,2822,-3.9934451994331983,-3.983525403902893,-3.983512996371203,-3.972907566736287,0.006554800566801688,5.887983974745332,5.8993205101215205,0.001892892325803739
1.2,34.66908837111368,11.25,0.5,0.25,4x4,2831,-3.9934508852532278,-3.9835642952913264,-3.9835169616728585,-3.9730008182990773,0.006549114746772222,5.901638402078163,5.894203272095001,0.007227483453576603
1.2,34.66908837111368,11.25,0.5,0.5,4x4,2828,-3.99343937776944,-3.9835098748000224,-3.983509874800022,-3.972934201364746,0.006560622230559865,5.905743269046323,5.904560007503879,6.76901053350492e-14
1.2,34.66908837111368,11.25,0.5,0.75,4x4,2831,-3.9934508852532273,-3.983564295291327,-3.9835169616728585,-3.9730008182990773,0.006549114746772666,5.901638402078563,5.8942032720954005,0.007227483453643923
1.2,34.66908837111368,11.25,0.75,0.0,4x4,2827,-3.993442456108391,-3.983525241894517,-3.983510715371747,-3.9729511021776887,0.006557543891609008,5.900884877737319,5.901789502448109,0.00221523835907476
1.2,34.66908837111368,11.25,0.75,0.25,4x4,2827,-3.99344608497197,-3.9835518603821156,-3.9835011868884425,-3.9729619114990418,0.006553915028030044,5.897619401124363,5.8985235252270405,0.007731789847203782
1.2,34.66908837111368,11.25,0.75,0.5,4x4,2831,-3.9934508852532273,-3.983564295291327,-3.9835169616728585,-3.9730008182990773,0.006549114746772666,5.901638402078563,5.8942032720954005,0.007227483453643923
1.2,34.66908837111368,11.25,0.75,0.75,4x4,2827,-3.9934460849719704,-3.9835518603821147,-3.983501186888443,-3.9729619114990418,0.0065539150280296,5.897619401123964,5.898523525226642,0.0077317898470010285
1.2,34.66908837111368,22.5,0.0,0.0,4x4,2833,-3.993464801580575,-3.9835709774367443,-3.9835709774367434,-3.9730005361861953,0.006535198419424848,5.893258344959209,5.881678577482364,1.3590687882714544e-13
1.2,34.66908837111368,22.5,0.0,0.25,4x4,2828,-3.993457267699356,-3.9835580348237682,-3.983548115897927,-3.9729805431041614,0.006542732300644172,5.889639105527934,5.8884590705797555,0.0015160219592275019
1.2,34.66908837111368,22.5,0.0,0.5,4x4,2830,-3.993469480086741,-3.9836019944013303,-3.9835636169451605,-3.973021987378405,0.006530519913258814,5.882803212378409,5.877467921932934,0.005876631061478096
1.2,34.66908837111368,22.5,0.0,0.75,4x4,2828,-3.9934572676993554,-3.9835580348237674,-3.9835481158979267,-3.9729805431041614,0.006542732300644616,5.8896391055283335,5.888459070580155,0.0015160219591595237
1.2,34.66908837111368,22.5,0.25,0.0,4x4,2828,-3.9934572676993554,-3.983558034823768,-3.9835481158979267,-3.9729805431041605,0.006542732300644616,5.8896391055283335,5.888459070580155,0.001516021959227399
1.2,34.66908837111368,22.5,0.25,0.25,4x4,2826,-3.993452873385919,-3.9835524551032866,-3.9835340880115444,-3.9729736181638233,0.006547126614080856,5.8894267499163755,5.892413952672771,0.002805366815831325
1.2,34.66908837111368,22.5,0.25,0.5,4x4,2830,-3.9934594076028844,-3.9835703932407154,-3.9835514273452657,-3.9730133858370285,0.006540592397115574,5.891876676846203,5.886533157404018,0.0028997213552185764
1.2,34.66908837111368,22.5,0.25,0.75,4x4,2826,-3.993452873385919,-3.9835524551032875,-3.983534088011543,-3.972973618163823,0.006547126614080856,5.8894267499163755,5.892413952672771,0.0028053668161704733
1.2,34.66908837111368,22.5,0.5,0.0,4x4,2830,-3.993469480086741,-3.9836019944013294,-3.983563616945161,-3.9730219873784045,0.006530519913258814,5.882803212378409,5.877467921932934,0.00587663106127409
1.2,34.66908837111368,22.5,0.5,0.25,4x4,2830,-3.9934594076028844,-3.9835703932407154,-3.9835514273452666,-3.9730133858370302,0.006540592397115574,5.891876676846203,5.886533157404018,0.0028997213550827814
1.2,34.66908837111368,22.5,0.5,0.5,4x4,2828,-3.993450440346251,-3.983538384408746,-3.9835383844087455,-3.9729752189593954,0.0065495596537488154,5.895784954690737,5.894603688373935,6.780443775267796e-14
1.2,34.66908837111368,22.5,0.5,0.75,4x4,2830,-3.993459407602885,-3.9835703932407154,-3.9835514273452666,-3.973013385837031,0.00654059239711513,5.891876676845803,5.886533157403618,0.0028997213550829783
1.2,34.66908837111368,22.5,0.75,0.0,4x4,2828,-3.9934572676993563,-3.9835580348237687,-3.9835481158979267,-3.9729805431041623,0.006542732300643728,5.889639105527534,5.888459070579356,0.0015160219593633552
1.2,34.66908837111368,22.5,0.75,0.25,4x4,2826,-3.993452873385919,-3.983552455103286,-3.983534088011543,-3.9729736181638224,0.006547126614080856,5.8894267499163755,5.892413952672771,0.002805366815966984
1.2,34.66908837111368,22.5,0.75,0.5,4x4,2830,-3.993459407602885,-3.983570393240715,-3.983551427345266,-3.9730133858370293,0.00654059239711513,5.891876676845803,5.886533157403618,0.0028997213550829783
1.2,34.66908837111368,22.5,0.75,0.75,4x4,2826,-3.9934528733859196,-3.983552455103287,-3.9835340880115435,-3.972973618163823,0.006547126614080412,5.889426749915977,5.8924139526723724,0.002805366816035004
1.2,34.66908837111368,33.75,0.0,0.0,4x4,2833,-3.9934737315121964,-3.9836036212956087,-3.9836036212956083,-3.973124225474415,0.006526268487803577,5.885205583486727,5.873641639023219,6.804642050506895e-14
1.2,34.66908837111368,33.75,0.0,0.25,4x4,2828,-3.9934727277534967,-3.9836073519051673,-3.9835797985397776,-3.9730464636149265,0.006527272246503291,5.875722268454721,5.874545021852962,0.004221267989012181
1.2,34.66908837111368,33.75,0.0,0.5,4x4,2826,-3.9934688635062394,-3.983604031476055,-3.983565665306228,-3.97304196950177,0.006531136493760581,5.8750429373067234,5.878022844384524,0.005874348187874989
1.2,34.66908837111368,33.75,0.0,0.75,4x4,2828,-3.993472727753497,-3.983607351905168,-3.9835797985397767,-3.973046463614925,0.0065272722465028465,5.8757222684543216,5.874545021852563,0.004221267989216576
1.2,34.66908837111368,33.75,0.25,0.0,4x4,2828,-3.9934727277534967,-3.9836073519051687,-3.9835797985397767,-3.973046463614925,0.006527272246503291,5.875722268454721,5.874545021852962,0.00422126798935236
1.2,34.66908837111368,33.75,0.25,0.25,4x4,2821,-3.993471542313621,-3.9835952118397127,-3.9835774444391165,-3.973000235587219,0.006528457686378886,5.862242869784724,5.875611917740998,0.002721531095037039
