n,lambda1,lambda2,lam1_drift_rel,lam2_drift_rel,lamA_an_over_pi,Q0_continuum,gate
1.2,8.066975130031025,20.29029895743294,2.0489748072726725e-08,8.1756664170022e-07,6.040437339714313,1.5152301364978804,PASS
2.0,5.783185958367105,14.681970533243678,1.5447326517493112e-11,1.782167876247938e-13,5.783185958367105,1.5387339502721376,PASS
3.0,5.2163197128870475,13.190178697390243,2.318755658815868e-06,2.575224751004487e-06,5.866675635451376,1.5286369362682235,UNSTABLE
4.0,5.057031724290748,12.73171703262415,1.2916069510079541e-05,2.576015060090449e-05,5.969019854692746,1.5176264905496084,UNSTABLE
