step,removed,level,direct,pred_full,abs_err_full,pred_m4,err_kin_m4,pred_m20,err_kin_m20,pred_m100,err_kin_m100,pred_m500,err_kin_m500
xi 0.75->1.0,68,E1,-3.988277145420858,-3.988277145420885,2.708944180085382e-14,-3.9883055783768295,0.0024254293849235013,-3.988300763391347,0.0020146944867107694,-3.988293650472074,0.0014079378964013422,-3.988311485802683,0.002929353221349031
xi 0.75->1.0,68,E2,-3.987848997345254,-3.9878489973452567,2.6645352591003757e-15,nan,nan,-3.9831203525550354,0.38915675723037374,-3.983351215774671,0.3701572370923932,nan,nan
xi 1.0->1.25,10,E1,-3.988262958480963,-3.988262958480962,8.881784197001252e-16,-3.988108601631426,0.013151257008542845,nan,nan,nan,nan,-3.9881952383254182,0.005769780692581692
xi 1.0->1.25,10,E2,-3.9878246964427397,-3.987824696442724,1.554312234475219e-14,-3.9820599277991273,0.47348048584585994,nan,nan,nan,nan,-3.987635260326439,0.015559046672611319
