n,a_circ,a,x0,y0,N_sites,E0,Ekin0,lamA_sites,lamA_an
1.2,24.0,27.735270696890943,0.0,0.0,1817,-3.989863624157762,0.010136375842237921,5.862566200077181,5.838552485129044
1.2,24.0,27.735270696890943,0.0,0.25,1805,-3.9898107324464935,0.010189267553506465,5.854236994431365,5.869018110819723
1.2,24.0,27.735270696890943,0.0,0.5,1812,-3.9898424504505257,0.010157549549474343,5.8586461750908985,5.850748540497222
1.2,24.0,27.735270696890943,0.0,0.75,1805,-3.989810732446493,0.010189267553506909,5.854236994431621,5.8690181108199795
1.2,24.0,27.735270696890943,0.25,0.0,1805,-3.9898107324464935,0.010189267553506465,5.854236994431365,5.869018110819723
1.2,24.0,27.735270696890943,0.25,0.25,1811,-3.989839498928204,0.010160501071796002,5.8571143588576735,5.852448617354497
1.2,24.0,27.735270696890943,0.25,0.5,1810,-3.9898253501233545,0.010174649876645514,5.862031875992866,5.860598328947816
1.2,24.0,27.735270696890943,0.25,0.75,1811,-3.9898394989282044,0.010160501071795558,5.857114358857419,5.852448617354242
1.2,24.0,27.735270696890943,0.5,0.0,1812,-3.9898424504505257,0.010157549549474343,5.8586461750908985,5.850748540497222
1.2,24.0,27.735270696890943,0.5,0.25,1810,-3.989825350123355,0.01017464987664507,5.862031875992611,5.860598328947561
1.2,24.0,27.735270696890943,0.5,0.5,1816,-3.989875974116229,0.010124025883770926,5.852200788641332,5.8314389090520535
1.2,24.0,27.735270696890943,0.5,0.75,1810,-3.9898253501233545,0.010174649876645514,5.862031875992866,5.860598328947816
1.2,24.0,27.735270696890943,0.75,0.0,1805,-3.9898107324464935,0.010189267553506465,5.854236994431365,5.869018110819723
1.2,24.0,27.735270696890943,0.75,0.25,1811,-3.989839498928204,0.010160501071796002,5.8571143588576735,5.852448617354497
1.2,24.0,27.735270696890943,0.75,0.5,1810,-3.9898253501233545,0.010174649876645514,5.862031875992866,5.860598328947816
1.2,24.0,27.735270696890943,0.75,0.75,1811,-3.989839498928204,0.010160501071796002,5.8571143588576735,5.852448617354497
1.2,30.0,34.66908837111368,0.0,0.0,2821,-3.9934148080685747,0.0065851919314252605,5.913187509311094,5.926672738282735
1.2,30.0,34.66908837111368,0.0,0.25,2829,-3.9934593241909626,0.006540675809037388,5.889869853949193,5.8866082281336505
1.2,30.0,34.66908837111368,0.0,0.5,2838,-3.993482215441843,0.006517784558157214,5.88792839037032,5.866006102341492
1.2,30.0,34.66908837111368,0.0,0.75,2829,-3.9934593241909626,0.006540675809037388,5.889869853949193,5.8866082281336505
1.2,30.0,34.66908837111368,0.25,0.0,2829,-3.9934593241909626,0.006540675809037388,5.889869853949193,5.8866082281336505
1.2,30.0,34.66908837111368,0.25,0.25,2825,-3.993439143794952,0.006560856205048093,5.899688732109238,5.904770584543285
1.2,30.0,34.66908837111368,0.25,0.5,2830,-3.993457261991094,0.006542738008906035,5.893809480375032,5.888464208015433
1.2,30.0,34.66908837111368,0.25,0.75,2825,-3.9934391437949524,0.006560856205047649,5.89968873210884,5.904770584542885
1.2,30.0,34.66908837111368,0.5,0.0,2838,-3.993482215441843,0.006517784558157214,5.88792839037032,5.866006102341492
1.2,30.0,34.66908837111368,0.5,0.25,2830,-3.993457261991094,0.006542738008906035,5.893809480375032,5.888464208015433
1.2,30.0,34.66908837111368,0.5,0.5,2804,-3.9933963697637296,0.006603630236270419,5.8940102120954405,5.943267212643378
1.2,30.0,34.66908837111368,0.5,0.75,2830,-3.9934572619910944,0.006542738008905591,5.893809480374633,5.888464208015033
1.2,30.0,34.66908837111368,0.75,0.0,2829,-3.993459324190963,0.006540675809036944,5.889869853948793,5.886608228133251
1.2,30.0,34.66908837111368,0.75,0.25,2825,-3.9934391437949515,0.0065608562050485375,5.899688732109637,5.904770584543685
1.2,30.0,34.66908837111368,0.75,0.5,2830,-3.9934572619910944,0.006542738008905591,5.893809480374633,5.888464208015033
1.2,30.0,34.66908837111368,0.75,0.75,2825,-3.993439143794953,0.006560856205047205,5.89968873210844,5.904770584542486
1.2,36.0,41.60290604533641,0.0,0.0,4073,-3.9954287367396915,0.004571263260308545,5.926533867451489,5.924357185359872
1.2,36.0,41.60290604533641,0.0,0.25,4069,-3.995428711012228,0.0045712889877718155,5.920746876584799,5.924390528152272
1.2,36.0,41.60290604533641,0.0,0.5,4080,-3.9954470717162778,0.004552928283722224,5.912907701881897,5.9005950557040014
1.2,36.0,41.60290604533641,0.0,0.75,4069,-3.995428711012228,0.0045712889877718155,5.920746876584799,5.924390528152272
1.2,36.0,41.60290604533641,0.25,0.0,4069,-3.995428711012229,0.004571288987770927,5.920746876583648,5.924390528151121
1.2,36.0,41.60290604533641,0.25,0.25,4075,-3.9954365778067835,0.004563422193216482,5.919273275645141,5.914195162408561
1.2,36.0,41.60290604533641,0.25,0.5,4068,-3.9954233719906957,0.004576628009304251,5.926205206959548,5.9313099000583085
1.2,36.0,41.60290604533641,0.25,0.75,4075,-3.9954365778067844,0.004563422193215594,5.919273275643989,5.914195162407409
1.2,36.0,41.60290604533641,0.5,0.0,4080,-3.9954470717162773,0.004552928283722668,5.912907701882474,5.900595055704577
