n,theta_deg,grid,quantity,mean,std,min,max,count
1.2,0.0,4x4,lamA_sites,5.894782922992315,0.006274483638137107,5.887928390369919,5.913187509310696,16
1.2,0.0,4x4,lamA_an,5.895082764898411,0.019118838396428965,5.866006102341093,5.9432672126429775,16
1.2,0.0,4x4,S_lat,0.00627870503910561,0.008982871614452978,6.724925441932437e-14,0.021790047405053255,16
1.2,0.0,8x8,lamA_sites,5.895764769974997,0.005858249562793369,5.887928390369919,5.913187509310696,64
1.2,0.0,8x8,lamA_an,5.89457637548519,0.014952425767794701,5.866006102341093,5.9432672126429775,64
1.2,0.0,8x8,S_lat,0.007649536939526351,0.00658598574264764,6.724925441932437e-14,0.021790047405053255,64
1.2,11.25,4x4,lamA_sites,5.8985383511368115,0.004718584062841651,5.887983974744933,5.905743269046323,16
1.2,11.25,4x4,lamA_an,5.897232606345499,0.006650384277465001,5.874455474701668,5.904560007503879,16
1.2,11.25,4x4,S_lat,0.004530239455676675,0.003025872389702165,6.76901053350492e-14,0.007731789847204306,16
1.2,22.5,4x4,lamA_sites,5.889901240848001,0.0031960627019509747,5.882803212378409,5.895784954690737,16
1.2,22.5,4x4,lamA_an,5.887552677021722,0.004934560890045874,5.877467921932934,5.894603688373935,16
1.2,22.5,4x4,S_lat,0.0025398564152752986,0.001584353445845972,6.780443775267796e-14,0.005876631061478096,16
1.2,33.75,4x4,lamA_sites,5.868899226372376,0.0073996704140351964,5.862242869784326,5.885205583486727,16
1.2,33.75,4x4,lamA_an,5.874345644495613,0.00346784446078901,5.861763835377777,5.878022844384524,16
1.2,33.75,4x4,S_lat,0.0038087607354361716,0.0018117641311522158,0.0,0.00587434818801098,16
1.2,45.0,4x4,lamA_sites,5.85462273636317,0.011026778911301209,5.845949621540513,5.888338767138179,16
1.2,45.0,4x4,lamA_an,5.854396104988867,0.0215457909106855,5.826236568861099,5.903860152985941,16
1.2,45.0,4x4,S_lat,0.00991241992055742,0.008518884785604336,6.860007899459274e-14,0.022884003397091592,16
4.0,0.0,4x4,lamA_sites,5.780411895779561,0.010248182419989286,5.762630304649527,5.792610723190491,16
4.0,0.0,4x4,lamA_an,5.778170208910474,0.02429770530405931,5.712992050279374,5.803127860697277,16
4.0,0.0,4x4,S_lat,0.01293503857392823,0.013751982639074463,0.0,0.03219493167836338,16
4.0,0.0,8x8,lamA_sites,5.7849943401323065,0.006929859281681743,5.762630304649527,5.793473954743573,64
4.0,0.0,8x8,lamA_an,5.78986697490396,0.020121882027325608,5.712992050279374,5.806005195173557,64
4.0,0.0,8x8,S_lat,0.00927352188683792,0.011375264740665546,0.0,0.033142424789370684,64
4.0,11.25,4x4,lamA_sites,5.808089580019241,0.003941467609156634,5.79908800179334,5.816372944848742,16
4.0,11.25,4x4,lamA_an,5.806295347972345,0.007932315788556993,5.793592674045022,5.830915731706687,16
4.0,11.25,4x4,S_lat,0.004962591719172833,0.004137664147318223,0.0,0.013743732316417233,16
4.0,22.5,4x4,lamA_sites,5.820695815316519,0.0032783947378601857,5.817732365253907,5.8311469020537325,16
4.0,22.5,4x4,lamA_an,5.822502722114708,0.00923360869666961,5.810702431912329,5.844445034578305,16
4.0,22.5,4x4,S_lat,0.003246200278171301,0.0018348370373962117,6.838635430744444e-14,0.0051295551770297945,16
4.0,33.75,4x4,lamA_sites,5.827339032606697,0.0043635279009640445,5.819677945445795,5.837738664595081,16
4.0,33.75,4x4,lamA_an,5.825015240614986,0.004497722361997419,5.817972549607386,5.829437806496074,16
4.0,33.75,4x4,S_lat,0.003980096444649276,0.002997765455150645,6.859970904855411e-14,0.008537709281207373,16
4.0,45.0,4x4,lamA_sites,5.8212693577573065,0.00480934749862507,5.810552418107465,5.827380223518532,16
4.0,45.0,4x4,lamA_an,5.8163956198163635,0.012838745234858624,5.785687907623593,5.828912475927428,16
4.0,45.0,4x4,S_lat,0.004915866958249794,0.00454088375791152,1.380359652505149e-13,0.011205834045943313,16
