A_eig_hi,A_eig_hi_dimless,A_eig_lo,A_eig_lo_dimless,A_trace,A_traceless_norm,A_traceless_norm_dimless,a0,delta,invariant_split_dimless,leakage,n,n_sites_0,n_sites_delta,overlap_M11,overlap_M12,overlap_M21,overlap_M22,principal_axis_deg,sv_max,sv_min,symmetry_class_0,x0,y0
0.009456755376625086,0.997796703126892,-0.02083261232623386,-2.1980807442705714,-0.01137585694960877,0.02141781730054436,2.2598266148959,24.3,0.01,3.1958774473974634,0.00016830281391677637,2.0,1861,1865,-0.4329827295503292,0.9013256143216761,0.9012820396148191,0.43300366317009115,25.65998280886648,0.9999400158764848,0.999891673643251,C4v,0.0,0.0
0.017760372254630105,1.8739240020714776,-0.013777061861291708,-1.4536388387449242,0.0039833103933384,0.022300333524592285,2.35294224956565,24.3,0.02,3.3275628408164017,0.0006016206742289754,2.0,1861,1857,-0.21129343326393973,0.9771021835705177,0.9771287957129121,0.2112876786787137,12.201720293731961,0.9997127579219087,0.9996855307043876,C4v,0.0,0.0
0.013843920338265215,1.4606931787636102,-0.009971284207036284,-1.0520854258654566,0.0038726361312289327,0.01683989262932738,1.7768027909536839,24.3,0.04,2.5127786046290668,0.00130186588150083,2.0,1861,1851,-0.23429633797825267,0.9713953300553678,0.9716078666541238,0.23424508628661586,13.557634097245758,0.9994581634736881,0.9992395346976625,C4v,0.0,0.0
0.002499868766711185,0.502201446188256,-0.00235909488834143,-0.47392122354447735,0.0001407738783697557,0.0034358061500266764,0.6902229590379325,33.7,0.01,0.9761226697327334,2.444637783671766e-05,2.0,3569,3569,0.9285742817044855,-0.3711098027954712,-0.3711083321264786,-0.9285779615609746,68.2156874939144,0.9999897581613666,0.9999857953074623,C4v,0.0,0.0
0.008278918868213036,1.6631613162486234,-0.0037901667998757674,-0.7614108682579502,0.0044887520683372685,0.008534132318626967,1.7144314331408794,33.7,0.02,2.4245721845065735,0.0003265473497884308,2.0,3569,3559,0.9452361851581198,-0.32592663058532256,-0.3259374623906092,-0.9452047723397383,70.9747216995792,0.9998533268044394,0.9998200989070574,C4v,0.0,0.0
0.006829852179815153,1.3720566805863268,-0.006967809980725578,-1.3997711782642648,-0.00013795780091042584,0.00975642047823938,1.9599782752750414,33.7,0.04,2.7718278588505916,0.0013620766375277427,2.0,3569,3571,0.9934048045021049,0.10852497370462594,0.10852417816601564,-0.9934120866754543,-83.76546494731377,0.9993223923591776,0.9993150668605344,C4v,0.0,0.0
-0.004656580398239144,-0.48760453833899864,-0.016562197086396488,-1.7342774683425803,-0.02121877748463563,0.008418542294403785,0.881530882727235,24.3,0.01,1.2466729300035817,7.921730860005471e-05,2.0,1844,1852,0.8705552389459698,0.4919683915143223,0.491947926073181,-0.8705914547648811,-60.529350418009145,0.9999811895024933,0.9999395911873769,C4v,0.5,0.5
0.0008702063927271565,0.09112192856067149,-0.019469120256424603,-2.0386701361561737,-0.01859891386369744,0.014382075798383466,1.5059904114785794,24.3,0.02,2.1297920647168453,0.0003574228302684057,2.0,1844,1860,0.6121656947459081,-0.790524226411057,-0.7904204956782751,-0.6122460322326577,37.757103334942,0.9998868718647288,0.9997556690572104,C4v,0.5,0.5
0.0051491395782623465,0.5391818914693493,-0.019964278463760726,-2.090519641253132,-0.014815138885498381,0.017757868196287104,1.859479786284724,24.3,0.04,2.629701532722481,0.0014329264542785047,2.0,1844,1868,0.741350056845222,-0.6699958663535359,-0.669515738769018,-0.7418816987342254,47.91470121336272,0.9996413936245361,0.9989250378501073,C4v,0.5,0.5
0.009250159972853165,1.8559922002098528,-0.006845901196594289,-1.3735912958883907,0.002404258776258876,0.011381634003309766,2.2836603904992256,33.7,0.01,3.2295834960982432,0.00019360966202175423,2.0,3568,3564,-0.37506736863040824,-0.9268457745048654,-0.9269590034925687,0.3750215537687911,-22.0293052061788,0.999964261945033,0.9998421152905503,C4v,0.5,0.5
0.005751503473476867,1.1540065920569502,-0.008607667613067974,-1.7270797476734774,-0.0028561641395911073,0.010153467247513662,2.0372356880073146,33.7,0.02,2.8810863397304276,0.0004531636865823252,2.0,3568,3572,0.9828381140407384,0.18346085525034905,-0.18347695558153676,0.9827518687731003,79.42569687572613,0.9998172591231982,0.9997295239144488,C4v,0.5,0.5
0.006445706725165169,1.293294542132965,-0.005105330877638261,-1.0243557210033118,0.0013403758475269076,0.008167817018683106,1.6388262174824473,33.7,0.04,2.3176502631362768,0.0010305421740994802,2.0,3568,3556,-0.6661580334234087,0.7450973458922557,-0.7453166928864762,-0.6659619828536311,-41.79008701417703,0.9996316812655436,0.9993374892707787,C4v,0.5,0.5
0.011540488177500322,1.214938958764008,-0.00608754211656945,-0.6408734159926075,0.005452946060930872,0.012464899759898625,1.3122575148003133,24.3,0.01,1.8558123747566155,0.00014183098710929265,2.0,1854,1852,4.277089559920447e-12,0.9999402747441348,-0.999917889114104,4.278006370171347e-12,2.079696961720417e-10,0.9999402747441346,0.9999178891141042,Cs_axis,0.5,0.3
0.012478859740278764,1.3137271687497794,-0.009375256977597196,-0.9869916051484716,0.0031036027626815677,0.015453194128052386,1.6268538466266524,24.3,0.02,2.300718773898251,0.0003511902194111016,2.0,1854,1854,2.866843205225609e-12,-0.9998469066178426,-0.999801871816566,-2.8674910134825703e-12,1.5416617911079967e-10,0.9998469066178427,0.999801871816566,Cs_axis,0.5,0.3
0.011512732098197236,1.2120169036855275,-0.014739530390572853,-1.551722026829603,-0.0032267982923756162,0.01856315282729856,1.954258539196505,24.3,0.04,2.7637389305151308,0.0016216701165243652,2.0,1854,1860,-2.749625777478742e-12,0.9992599018025904,-0.999117765038951,-2.7506681972100052e-12,-1.5384819987066022e-10,0.9992599018025905,0.999117765038951,Cs_axis,0.5,0.3
0.00554225856230859,1.1123267356755309,-0.007260206231389163,-1.457117420073662,-0.0017179476690805731,0.009052709671525714,1.8168713864103978,33.7,0.01,2.569444155749193,0.00012070476679393316,2.0,3568,3570,-0.9999227530127623,1.74818416358557e-14,-1.8986800278049284e-14,-0.9999565382924352,89.99999999999271,0.9999565382924352,0.9999227530127623,Cs_axis,0.5,0.3
0.005646337896137409,1.1332153723835934,-0.005905480375308775,-1.18522505484264,-0.0002591424791713662,0.008168369034774258,1.639384947868706,33.7,0.02,2.3184404272262333,0.0003149882035908824,2.0,3568,3568,0.9998329383222877,-2.8786721984226925e-12,2.876827235937971e-12,0.9998520485745072,-89.99999999981372,0.9998520485745072,0.9998329383222877,Cs_axis,0.5,0.3
0.005260534161418253,1.055784880098161,-0.00549675796688116,-1.1031948035915098,-0.00023622380546290712,0.007606554211125183,1.5266291747809537,33.7,0.04,2.1589796836896706,0.000924292292283857,2.0,3568,3566,0.9995641065494876,-7.443962765811955e-13,-7.455229787376886e-13,-0.9995113867852417,89.99999999995694,0.9995641065494876,0.9995113867852417,Cs_axis,0.5,0.3
