preregistration_commit,rules_changed_after_execution,S_experiment_started_after_preregistration,protocol_branch,implementation_branch,n,alpha,candidate_rank,candidate_type,a,b,aspect_ratio,Ekin_target,E0_Kwant,E1_Kwant,E2_Kwant,E3_Kwant,Ekin_Kwant,dE1_Kwant,dE2_Kwant,Q_Kwant,S_Kwant,geometry_hash,N_sites,N_A,N_B,imbalance_ratio,failure_mode,passes_Ekin_constraint,passes_Q_constraint
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,1,method_candidate,28.16839886459659,26.19661094407483,0.93,0.010689289799576063,-3.989411017354033,-3.9740333137561454,-3.972755161373558,-3.9566389034165956,0.010588982645967082,0.015377703597887482,0.0012781523825875496,1.4522361696139177,0.12070587187847989,c6914383e7d63a10dba810cd123021dee0f68dc4ef05cc49780e6587add9f25e,1741,879,862,0.009764503159103963,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,2,method_candidate,27.733530532759957,26.485521658785757,0.955,0.010689289799576063,-3.9893684496440245,-3.9737616554000654,-3.9727744644323923,-3.9561539650353557,0.010631550355975516,0.015606794243959055,0.0009871909676730795,1.4679697430193872,0.09285484568280522,f96d40f5bcc970440b7fe5f05f532a044dd8b16d60ddcad8952116a886ec56ed,1731,869,862,0.004043905257076834,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,3,method_candidate,27.481112747349123,26.65667936492865,0.97,0.010689289799576063,-3.989402635863876,-3.973602622465434,-3.9731017323372817,-3.956160851557258,0.01059736413612411,0.015800013398441948,0.0005008901281522427,1.4909380479418592,0.047265539026333646,3287a414615cfa36ed9f4d0b47b16f4db3f601984cd7ccbf507fc1228c6575f3,1735,873,862,0.006340057636887608,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,4,method_candidate,26.994275135346882,26.994275135346882,1.0,0.010689289799576063,-3.9893094782833076,-3.973102331060996,-3.9731023310609186,-3.9555610032393673,0.01069052171669238,0.016207147222311757,7.72715225139109e-14,1.5160295869382703,7.228040367127986e-12,a2b4ddcb9cc027b384b338298a9d297121639d42959d9f51f86f47f19e876568,1717,865,852,0.007571345369831101,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.9,1,method_candidate,29.49028554267818,25.361645566703235,0.86,0.010689289799576063,-3.9894558007794205,-3.9750019455576138,-3.9720238449511913,-3.9579174435667808,0.010544199220579475,0.014453855221806755,0.0029781006064224513,1.3707873798132217,0.2824397134502154,4e4c0b87d6c7c965d757f4aae4ac53dd5ea5117700c42f9feae54cf2f9f2666f,1757,877,880,0.001707455890722823,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.9,2,method_candidate,29.19310194979746,25.543964206072776,0.875,0.010689289799576063,-3.989403505160882,-3.974665675241794,-3.972103752630226,-3.9574128135196154,0.010596494839118176,0.014737829919087897,0.0025619226115680682,1.3908212237013986,0.2417707600923314,75b5dd72ea6ac96e0133c9d1d2178ab6dd62566e7e5815586d1291603a208713,1753,881,872,0.00513405590416429,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.9,3,method_candidate,28.99937842063048,25.664449902257978,0.885,0.010689289799576063,-3.989354072921747,-3.9742009219834697,-3.9723274598138856,-3.9568360523947743,0.01064592707825307,0.015153150938277182,0.0018734621695841724,1.4233754211252516,0.17597924124533793,eedde0b36d2c745d1cdeec81c9be1e33254739658b3b29809ced9a65220788ad,1739,881,858,0.013225991949396205,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.9,4,method_candidate,28.438251090589276,26.02099974788919,0.915,0.010689289799576063,-3.9893842454056676,-3.9741157555833184,-3.9725221425891473,-3.956600461852364,0.010615754594332394,0.015268489822349185,0.0015936129941711563,1.4382858690517226,0.1501177311523351,508720285d442da6712afa159529d21cf9cda6652e4f7ebfdf525637322561c2,1737,879,858,0.012089810017271158,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.9,5,method_candidate,27.992268716072033,26.31273259310771,0.94,0.010689289799576063,-3.9893874155821085,-3.9738881265432897,-3.9727529938704063,-3.9563377748481696,0.01061258441789148,0.015499289038818809,0.0011351326728834543,1.4604632037309366,0.10696100291741979,6901f1230a2bf953804315df5fd9d8c7365176c530c6d9a813113805b2e3c892,1731,873,858,0.008665511265164644,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,2.0,0.95,1,method_candidate,27.776118911277827,26.387312965713935,0.95,0.007727409624868287,-3.9923289242503643,-3.981040577658146,-3.980041139320481,-3.9654309886151418,0.0076710757496356585,0.011288346592218446,0.0009994383376650262,1.4715467505003572,0.13028659477290327,ceb38df55a6380877cbbd5577b9dbe60def38cc132bc79f9287d1854eadb1711,2307,1153,1154,0.00043346337234503684,ok,True,True
