preregistration_commit,rules_changed_after_execution,S_experiment_started_after_preregistration,protocol_branch,implementation_branch,n,alpha,repeat_index,seed,sample_index,aspect_ratio,a,feasible,S_Kwant,failure_mode,b,Q_Kwant,Ekin_Kwant,geometry_hash,repeat_best_S,S_random_best_of_5_primary,S_random_best_of_5_p75
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,2,20260604,4,0.892975824305166,28.84731224351455,False,0.1678088677183946,ok,25.759952429640915,1.42847437591634,0.010605888063781155,5d1ddec47e6358345483e42e0721e0b0e87d2937fcd6646d74036377e10a99ab,,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,2,20260604,5,0.8341006067715665,30.022997477700375,False,0.32193090901473936,ok,25.042200413251095,1.3508319087975384,0.010503214370240155,2de755bcef47ff013bf6f8c0f7b75922ad8d5509d193835a204f1d90a9c8b9ef,,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,3,20260605,1,0.9757154508614188,27.386545545816592,True,0.045257037370635245,ok,26.721475634773217,1.492204881944244,0.010600462508664421,df62b2a3bca9840576514e87aa41e031cf6212da600f14e7eab31f1f3db26310,0.08756605380305539,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,3,20260605,2,0.9603380161635924,27.642991708445603,True,0.08756605380305539,ok,26.546615818115285,1.47124659917543,0.010639955983239968,905f77f941402da94bfd3a7fe63c4ebe8e381ddd20b2cc5e50f0c7f728c93d0f,0.08756605380305539,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,3,20260605,3,0.9065600194975205,28.59316425589833,False,0.15859911561954598,ok,25.921419545322998,1.4331032963861925,0.010604272808499182,2ecff0dc8e27e9404a51af6668d0429b29e451881d60bc99ed217ca770569801,0.08756605380305539,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,3,20260605,4,0.9196257374885642,28.354295991678736,False,0.1501177311523351,ok,26.0753403623166,1.4382858690517226,0.010615754594332394,508720285d442da6712afa159529d21cf9cda6652e4f7ebfdf525637322561c2,0.08756605380305539,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,3,20260605,5,0.7850511007118641,31.106305462064476,False,0.41769204734423204,ok,24.42003934207319,1.3025253181428584,0.010476175817657474,78a32e34e224197c81e0c6f3218afca8d432ae2a3affb4a64410572fb4072199,0.08756605380305539,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,4,20260606,1,0.889780495655351,28.907977234465232,False,0.1678088677183946,ok,25.721754312076076,1.42847437591634,0.010605888063781155,5d1ddec47e6358345483e42e0721e0b0e87d2937fcd6646d74036377e10a99ab,0.09285484568280522,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,4,20260606,2,0.9551249735267304,27.731401734704463,True,0.09285484568280522,ok,26.486954347718726,1.4679697430193872,0.010631550355975516,f96d40f5bcc970440b7fe5f05f532a044dd8b16d60ddcad8952116a886ec56ed,0.09285484568280522,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,4,20260606,3,0.9820595947483725,27.282593224966767,True,0.02548646514194377,ok,26.793132446195557,1.5030387000763568,0.010643754785434556,1b2e8fd715c7c9db680cbe93d5bfd73484f70d09e40c8b73b5d0eabfb7175adb,0.09285484568280522,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,4,20260606,4,0.738527306080459,32.23607531308504,False,0.5013263236088523,ok,23.80722185957948,1.25898699809529,0.010520937260746877,7eccff48e1b944835ef2b59194abcf1d599ad76f09dc2292d2662bc1ed97e74d,0.09285484568280522,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,4,20260606,5,0.8214111288011274,30.293548308496064,False,0.3370292740654485,ok,24.883457711473238,1.3431350884340807,0.010534749727707293,b8ed5494c88bdbec06a02ff4ff9d518d3b0e6f87f385cbf69677fd50cdce41db,0.09285484568280522,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,5,20260607,1,0.9050374349568451,28.62135217509816,False,0.15859911561954598,ok,25.903395157547358,1.4331032963861925,0.010604272808499182,2ecff0dc8e27e9404a51af6668d0429b29e451881d60bc99ed217ca770569801,0.13319743561457206,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,5,20260607,2,0.6972348854584217,33.33565944726102,False,0.6045743201815325,ok,23.242784696391993,1.2080493251798332,0.010586099588629772,1d70a444cbe92c4c0ced396a8db197009f58bade0543070855d62be05fbb1cc6,0.13319743561457206,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,5,20260607,3,0.8957140155788856,28.79559662655461,False,0.1634526487064499,ok,25.79261948536104,1.431250897799507,0.010612372515317325,cde7fcfb15b87d7da3f18e181a838e970298b09221c7c79cce6caa81a35b2e33,0.13319743561457206,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,5,20260607,4,0.9266445895628699,28.22816663429872,True,0.13319743561457206,ok,26.157477884952037,1.446741122332222,0.010615018964437617,cc837d6b51d73c23db32f93390d62df6960d9f2bea9f6ccda2f580fdaba8452f,0.13319743561457206,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,5,20260607,5,0.6876971605706926,33.60410535284914,False,0.6136859456892687,ok,23.109447834672768,1.2021381363292984,0.010573998406290475,141db57e8569d0ce8000da789c9de530851680fcd23d5eaf7d6c0bafc2bd9ad7,0.13319743561457206,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,6,20260608,1,0.7818684615019541,31.18024274287659,False,0.4211033132596728,ok,24.37884842263039,1.3003278605515707,0.010471488090488812,3545389f2b91d632d249c4f79e63d8e62ab7feb8ba0e3e9db2eade0d86e34a62,,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,6,20260608,2,0.9175748620579983,28.391436410846282,False,0.1501177311523351,ok,26.051268348310707,1.4382858690517226,0.010615754594332394,508720285d442da6712afa159529d21cf9cda6652e4f7ebfdf525637322561c2,,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,6,20260608,3,0.6737657282879941,34.00674637396755,False,0.6762586965180277,ok,22.91258023736135,1.1711728610162349,0.010623527007743938,308d1394626628c6a1bcf49155ec0cd0b087a560b53992a280c2dc19d25f0b18,,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,6,20260608,4,0.7579703693157974,31.75080614530736,False,0.4874098868438562,ok,24.066170260032912,1.2675031370959602,0.01053836731165303,01fd556d48dfc125715b283a792e320d70c5ad88a48734f76a12efaf72ee762c,,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,6,20260608,5,0.8400514877837464,29.898325246677352,False,0.30522964664587154,ok,25.116132605713656,1.3588029040944707,0.01048353188343043,04751eee7adee2592641ff1f4a190bec5e5b00e53eacca635c7203f149438970,,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,7,20260609,1,0.9989370530361664,27.011129727520384,True,0.004063946810719173,ok,26.9824183291868,1.5143963659663564,0.010695805746105957,617d6389222552938cc1072c9a0412aad40433751b85ea05b0f57e0762317921,0.12070587187847989,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,7,20260609,2,0.93316334845263,28.112361858352433,True,0.12070587187847989,ok,26.233425724652157,1.4522361696139177,0.010588982645967082,c6914383e7d63a10dba810cd123021dee0f68dc4ef05cc49780e6587add9f25e,0.12070587187847989,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,7,20260609,3,0.6831951227825679,33.732830829987684,False,0.6419151808925584,ok,23.046105500697028,1.1879874939636488,0.010564523884010413,c1d2a75822a3edd7f4f05b9c648817d2d50d779379ccee3359d2bd52b333bcf6,0.12070587187847989,0.10586030899443685,0.12070587187847989
