preregistration_commit,rules_changed_after_execution,S_experiment_started_after_preregistration,protocol_branch,implementation_branch,n,alpha,baseline_type,feasible,S_Kwant,geometry_hash,failure_modes,notes,a,b,aspect_ratio,Ekin_Kwant,Q_Kwant,N_sites,is_strongest_feasible_baseline,S_random_best_of_5_primary,S_random_best_of_5_p75,n_feasible_repeats
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,3.0,0.95,simple_anisotropy_heuristic,True,0.150066902451643,be519d22670f37de0cfb65db8e7e2ec9daae5418285b3c2895718a0409ee208c,,,27.933065351372232,26.11741610353304,0.935,0.006980265780967443,1.4529577047583657,2567,True,,,
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,3.0,0.9,isotropic_same_n,True,1.9719028815905946e-11,054e46019a91fa16fb7c5aea3485beb9fcb430a92c6e9fdd7cbf9381e0902799,,,26.834284998222778,26.834284998222778,1.0,0.007071545621985198,1.5255277762565296,2533,False,,,
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,3.0,0.9,best_training,True,1.7062240149484624e-11,ca55799fcdcc4216256dd9f178628b8f1373c08ae4d5258b6d2bc27024698d42,,,27.0,27.0,1.0,0.007053480364534792,1.5250299615815381,2545,False,,,
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,3.0,0.9,random_best_of_5_primary,True,0.2779207232783861,,,,,,,,,,False,0.2779207232783861,0.29698591594674195,43
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,3.0,0.9,simple_anisotropy_heuristic,True,0.30666778260464495,c1623fa126f9e4941324d890ddfd530e0f29a3f53bb313d0b4b1c04596952305,,,28.67137264451316,25.66087851683928,0.895,0.0069176744961039205,1.3733107712488657,2603,True,,,
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,4.0,0.95,isotropic_same_n,True,1.732350236819349e-11,6b562417b14fd5837d96eb2ae4d4862b24353fbdac76c0c81a6acae6036d9b7a,,,26.842160022920158,26.842160022920158,1.0,0.006895834047334404,1.5143127309059565,2641,False,,,
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,4.0,0.95,best_training,True,0.11920165067836844,0aacae0040c2e7d96b715a55082c6af21625e6c679b162bc6b8521320a76a079,,,27.0,25.38,0.94,0.007184997040124763,1.4561239824800627,2533,False,,,
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,4.0,0.95,random_best_of_5_primary,True,0.10751414805016284,,,,,,,,,,False,0.10751414805016284,0.1292786439054841,29
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,4.0,0.95,simple_anisotropy_heuristic,True,0.1292786439054841,2431fb704afe597c29223938de870c7b1a94b425b1609954093433f09009e65f,,,27.92388744261127,26.10883475884154,0.935,0.006729459220384371,1.4530625760322384,2703,True,,,
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,4.0,0.9,isotropic_same_n,True,1.732350236819349e-11,6b562417b14fd5837d96eb2ae4d4862b24353fbdac76c0c81a6acae6036d9b7a,,,26.842160022920158,26.842160022920158,1.0,0.006895834047334404,1.5143127309059565,2641,False,,,
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,4.0,0.9,best_training,True,0.11920165067836844,0aacae0040c2e7d96b715a55082c6af21625e6c679b162bc6b8521320a76a079,,,27.0,25.38,0.94,0.007184997040124763,1.4561239824800627,2533,False,,,
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,4.0,0.9,random_best_of_5_primary,True,0.1292786439054841,,,,,,,,,,False,0.1292786439054841,0.24720503553664835,34
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,4.0,0.9,simple_anisotropy_heuristic,True,0.30591846825010227,10f738da8861ca59c22a7a7cd7b1ad94913c009dc261088783569d4568b5fb2a,,,28.28092682151991,25.877048041690717,0.915,0.006746586561859225,1.3635496918283683,2707,True,,,
