n,target,protocol,model,feature_set,seed,left_out_group,mae,rmse,max_abs_error,n_iter,max_iter,converged
1.2,E0,LOAO,mlp,raw,7,24.0,0.0005393448142341535,0.0006470343906285584,0.0012129508738731865,129.0,5000.0,True
1.2,E0,LOAO,mlp,raw,7,27.0,0.00015262115621192,0.00017353790916745725,0.00028145788156397344,176.0,5000.0,True
1.2,E0,LOAO,mlp,raw,7,30.0,0.00014053523323331873,0.00014363147639117452,0.0001824654397335479,145.0,5000.0,True
1.2,E0,LOAO,mlp,raw,7,33.0,8.135629968026541e-05,9.669804272973516e-05,0.00017849683012105544,115.0,5000.0,True
1.2,E0,LOAO,mlp,raw,7,36.0,0.00010576557139569636,0.00011786784005117036,0.0001684671963748663,149.0,5000.0,True
1.2,E0,LOAO,mlp,raw,8,24.0,0.0005474876850859138,0.0008052271099721836,0.0018668146915881145,170.0,5000.0,True
1.2,E0,LOAO,mlp,raw,8,27.0,0.0001127344261073431,0.00013397152451986744,0.00023899898581625223,134.0,5000.0,True
1.2,E0,LOAO,mlp,raw,8,30.0,4.55130524079956e-05,5.409329671159637e-05,0.00010556981565290613,87.0,5000.0,True
1.2,E0,LOAO,mlp,raw,8,33.0,7.731981024848369e-05,9.949945566025714e-05,0.0001899518352375118,96.0,5000.0,True
1.2,E0,LOAO,mlp,raw,8,36.0,0.0003997431088909994,0.00040301972531519317,0.0005089699881497545,91.0,5000.0,True
1.2,E0,LOAO,mlp,raw,9,24.0,0.0005988676071087313,0.000831749347019661,0.001883405607598032,75.0,5000.0,True
1.2,E0,LOAO,mlp,raw,9,27.0,0.0001055472829523753,0.00012894530835402406,0.0002787587956274429,102.0,5000.0,True
1.2,E0,LOAO,mlp,raw,9,30.0,2.4460196475712642e-05,2.7852626461458223e-05,4.1932211360506955e-05,109.0,5000.0,True
1.2,E0,LOAO,mlp,raw,9,33.0,5.941280857119884e-05,6.496943512172638e-05,0.00010789629384477806,75.0,5000.0,True
1.2,E0,LOAO,mlp,raw,9,36.0,0.00014168538998728306,0.00019265942553930518,0.00040097645657732883,209.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,0,24.0,0.00039445432649052946,0.0004801364130368138,0.0010157965477590736,57.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,0,27.0,8.053589151765397e-05,9.929278103614294e-05,0.00018427669066189978,80.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,0,30.0,2.788141646784378e-05,3.4563378860472685e-05,6.724160677995528e-05,70.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,0,33.0,5.523518039459877e-05,7.723231405835393e-05,0.0001517019651782192,72.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,0,36.0,0.00016663939564409702,0.00019616081124552743,0.0003026030168786775,93.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,1,24.0,0.000546344576490768,0.0007944677923820672,0.0018323553735339893,88.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,1,27.0,8.74846586455139e-05,0.00010097640622621674,0.00015645483870985188,63.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,1,30.0,3.167511217437381e-05,3.8481920517535745e-05,6.949466613104249e-05,61.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,1,33.0,4.325990235378084e-05,7.294443255015459e-05,0.00014082612419352714,60.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,1,36.0,0.00015263960832413912,0.00019193484672544962,0.00033599620073943015,69.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,2,24.0,0.00031735174410073085,0.00038690964125757694,0.0008064847471875858,88.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,2,27.0,7.241836370257866e-05,8.087027494796399e-05,0.00011418634248050452,44.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,2,30.0,1.987350855259251e-05,2.5206854197059662e-05,5.3315395520669995e-05,38.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,2,33.0,5.055933330882263e-05,6.553217037498564e-05,0.00011701580166034731,79.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,2,36.0,0.000134135385249439,0.00015790987266737884,0.00024184634948731798,87.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,3,24.0,0.00038581767172399646,0.0005870618964431289,0.001429179365042721,162.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,3,27.0,8.076778260855479e-05,9.26570336846639e-05,0.0001736745327081124,97.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,3,30.0,2.0793748023630242e-05,2.2531802089591527e-05,3.3167785709942166e-05,110.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,3,33.0,4.170295361178538e-05,6.077160859607828e-05,0.00013014917029785522,90.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,3,36.0,0.000130664881713205,0.00017118854475396816,0.0003426875283500941,79.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,4,24.0,0.0003694205763304608,0.0005977686271454227,0.001508800370550567,120.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,4,27.0,8.609887225003681e-05,0.00010042025618584167,0.00017429516721989557,197.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,4,30.0,0.00013384810912991135,0.0001400691752672321,0.00018371722129284507,208.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,4,33.0,5.35525301420695e-05,6.985890932590157e-05,0.0001472014887329287,189.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,4,36.0,0.00017603753340335513,0.0001982413052459847,0.0003375446960247608,132.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,5,24.0,0.00048151072944373804,0.0007002255483008228,0.0016238555836975976,112.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,5,27.0,0.00015381308337523793,0.0002072928807649385,0.00045080354952231616,138.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,5,30.0,3.35795620215938e-05,4.0828122640621016e-05,7.914456923252544e-05,113.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,5,33.0,4.278648271657407e-05,5.548887770405934e-05,0.00010622345504840425,63.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,5,36.0,0.00015110092841576415,0.00018329216073506541,0.00029385416850802315,103.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,6,24.0,0.0006989065739197363,0.0007741948128645631,0.001167469609909766,80.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,6,27.0,6.011154603521466e-05,7.380618133659058e-05,0.00012213829862606218,71.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,6,30.0,2.657070984086423e-05,3.002388682263935e-05,4.7436450494764415e-05,77.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,6,33.0,3.7662604703328893e-05,5.129853197590548e-05,9.224083415304563e-05,144.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,6,36.0,5.922731730707247e-05,7.155135186204993e-05,0.00011269377168465766,195.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,7,24.0,0.0012087202239903228,0.001294528794646227,0.0022178982081562104,108.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,7,27.0,9.894577686050557e-05,0.00012545956189427134,0.00023363365793960256,89.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,7,30.0,7.090350446180085e-05,7.371411358594243e-05,9.650950258466295e-05,102.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,7,33.0,3.653240212012473e-05,4.5674805053383823e-05,7.60956225729359e-05,60.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,7,36.0,0.0002573080856200148,0.00030800348247739555,0.0005000737894178542,76.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,8,24.0,0.00042590161972011487,0.0004982042940811151,0.001028752688390977,56.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,8,27.0,6.192837228948176e-05,8.481421939817064e-05,0.00016163760690313111,112.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,8,30.0,3.0438027648635062e-05,3.494655270112308e-05,5.5099889891607745e-05,111.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,8,33.0,2.4099002715478285e-05,3.3132147286991516e-05,7.541466953053799e-05,84.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,8,36.0,4.9699303774821046e-05,5.7429772924660055e-05,8.810374501599938e-05,56.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,9,24.0,0.00044155943271352783,0.0005835105821204751,0.0013279333167059981,45.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,9,27.0,0.00019873279017604669,0.00023019336752751229,0.00032444176756785126,79.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,9,30.0,5.5566016001698925e-05,6.249822732811138e-05,0.00011302724453754465,54.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,9,33.0,2.7625637847781904e-05,3.969823970583357e-05,9.191366314365013e-05,140.0,5000.0,True
1.2,E0,LOAO,mlp,physics_informed,9,36.0,0.00011769657421391498,0.00013809420513044582,0.00025158280264303556,105.0,5000.0,True
1.2,E0,LOARO,ridge,physics_informed,NaN,0.67,0.0005953789000204601,0.0008166729241064631,0.0015793315247027984,NaN,NaN,NaN
1.2,E0,LOARO,ridge,physics_informed,NaN,0.72,0.00018619617149546742,0.0002056806368450923,0.00029119188451254274,NaN,NaN,NaN
1.2,E0,LOARO,ridge,physics_informed,NaN,0.78,0.00015793751002917132,0.00018247497881693976,0.0002678903076329675,NaN,NaN,NaN
1.2,E0,LOARO,ridge,physics_informed,NaN,0.83,0.00022369778114086358,0.00022592742774229745,0.00026235421644749124,NaN,NaN,NaN
1.2,E0,LOARO,ridge,physics_informed,NaN,0.89,0.0001337927533024974,0.00017192120806539102,0.0003347585857649271,NaN,NaN,NaN
1.2,E0,LOARO,ridge,physics_informed,NaN,0.94,0.0002061166607391307,0.0002466375866652788,0.0004514770046717409,NaN,NaN,NaN
1.2,E0,LOARO,ridge,physics_informed,NaN,1.0,0.00038491928157302624,0.00044499324203226584,0.0006577548880479789,NaN,NaN,NaN
1.2,E0,LOARO,mlp,raw,0,0.67,0.00025936560494024266,0.00045224732289242007,0.0009986367272776242,36.0,5000.0,True
1.2,E0,LOARO,mlp,raw,0,0.72,9.126040357836374e-05,0.00013957867448697128,0.0002939121305978176,60.0,5000.0,True
1.2,E0,LOARO,mlp,raw,0,0.78,6.706506176215043e-05,7.975139261014424e-05,0.0001287486201073662,94.0,5000.0,True
1.2,E0,LOARO,mlp,raw,0,0.83,3.808531614266641e-05,5.29448310242175e-05,0.0001096084004790221,134.0,5000.0,True
1.2,E0,LOARO,mlp,raw,0,0.89,7.01051817015852e-05,7.769184923000842e-05,0.00011525219585983848,80.0,5000.0,True
1.2,E0,LOARO,mlp,raw,0,0.94,8.296539962939775e-05,0.00010322018942282919,0.00019805844465148326,116.0,5000.0,True
1.2,E0,LOARO,mlp,raw,0,1.0,0.00021334330021005599,0.0002307272410367961,0.0003848745963419553,60.0,5000.0,True
1.2,E0,LOARO,mlp,raw,1,0.67,0.00024650346522001596,0.00043666157172541785,0.0009652827789166096,64.0,5000.0,True
