n,target,protocol,ridge_mae,mlp_physics_mae_mean,characteristic_scale,ridge_relative_mae_percent,mlp_physics_relative_mae_percent
1.2,E0,LOAO,0.00023140656947526444,0.00017020238740575724,0.011520122180619983,2.00871627789,1.47743560995
1.2,E0,LOARO,0.00026971986547151669,8.2020774768435555e-05,0.011520122180619983,2.34129344501,0.711978340876
1.2,dE1,LOAO,0.00013115473979540346,0.00028256360298016704,0.015334520196334939,0.855290795644,1.84266347667
1.2,dE1,LOARO,0.00013591922919098913,0.0001429641579416265,0.015334520196334939,0.886361147599,0.932302779032
2.0,E0,LOAO,0.00017903089767750758,0.00012786804033032846,0.0083471951548447568,2.14480306686,1.53186834569
2.0,E0,LOARO,0.00021726278113650213,4.2415670717035019e-05,0.0083471951548447568,2.60282378818,0.508142794438
2.0,dE1,LOAO,9.3443312182643349e-05,0.00024097608200105282,0.010709818070630244,0.872501396068,2.25004832399
2.0,dE1,LOARO,8.3764240982868771e-05,5.2029901442638531e-05,0.010709818070630244,0.782125713345,0.485814988635
3.0,E0,LOAO,0.00016191071214250691,0.0001110718789727968,0.0075434420098936658,2.14637710385,1.47242967901
3.0,E0,LOARO,0.00019390608761901923,6.4073559002073561e-05,0.0075434420098936658,2.57052533001,0.849394201189
3.0,dE1,LOAO,9.0370916626850029e-05,0.0003039838140982051,0.0094580918761867395,0.955487827882,3.21400783665
3.0,dE1,LOARO,9.0858161929828355e-05,4.6236867258364396e-05,0.0094580918761867395,0.960639451585,0.488860415649
4.0,E0,LOAO,0.00015384268608485487,0.00015085459092513355,0.0073113479049941379,2.10416311854,2.06329383973
4.0,E0,LOARO,0.00017854405816528641,8.9986453197793897e-05,0.0073113479049941379,2.44201288853,1.2307778862
4.0,dE1,LOAO,9.8809900207464841e-05,0.00030004087708269077,0.0090768619017219058,1.08859098307,3.30555736477
4.0,dE1,LOARO,0.0001041253486557378,6.7063053895423448e-05,0.0090768619017219058,1.14715140302,0.738835234264
