target,protocol,n,variable,variable_type,spearman_rho,abs_spearman_rho,p_value,num_points
dE1,LOARO,1.2,aspect_ratio,smooth,0.015559461389633454,0.015559461389633454,0.9293098365029088,35
dE1,LOARO,2.0,edge_area_error_abs,discretization,0.1392156862745098,0.1392156862745098,0.4251055346737462,35
dE1,LOARO,2.0,imbalance_ratio,discretization,-0.051540616246498604,0.051540616246498604,0.7687273201671896,35
dE1,LOARO,2.0,a,smooth,-0.26605321596532183,0.26605321596532183,0.12238936092513958,35
dE1,LOARO,2.0,aspect_ratio,smooth,0.34655164004183603,0.34655164004183603,0.04140458359525597,35
dE1,LOARO,3.0,edge_area_error_abs,discretization,0.15798319327731095,0.15798319327731095,0.3647199187850219,35
dE1,LOARO,3.0,imbalance_ratio,discretization,0.18123249299719887,0.18123249299719887,0.2974551585258924,35
dE1,LOARO,3.0,a,smooth,-0.1700340102034012,0.1700340102034012,0.3287982685932752,35
dE1,LOARO,3.0,aspect_ratio,smooth,0.40171700315053643,0.40171700315053643,0.016755983433516298,35
dE1,LOARO,4.0,edge_area_error_abs,discretization,-0.04453781512605043,0.04453781512605043,0.7994600164616372,35
dE1,LOARO,4.0,imbalance_ratio,discretization,0.17254901960784316,0.17254901960784316,0.32158749732427927,35
dE1,LOARO,4.0,a,smooth,-0.22204441332444155,0.22204441332444155,0.1998429802455697,35
dE1,LOARO,4.0,aspect_ratio,smooth,0.26026735415386865,0.26026735415386865,0.13104276353383343,35
