n,target,protocol,model,feature_set,ridge_mae_reference,mlp_mae_mean,mlp_mae_std,mlp_mae_se,delta_mae,delta_mae_over_ridge,improvement_percent,seed_stable,num_seeds,num_converged_folds,num_total_folds
3.0,dE1,LOARO,mlp,raw,9.085816192982835e-05,5.4446797304571486e-05,7.610298332902091e-06,2.406587640535294e-06,3.641136462525687e-05,0.4007495182807916,40.07495182807916,True,10,70,70
3.0,dE1,LOARO,mlp,physics_informed,9.085816192982835e-05,4.6236867258364396e-05,2.7712632333058267e-06,8.763503813129006e-07,4.462129467146396e-05,0.4911093700742693,49.110937007426934,True,10,70,70
4.0,E0,LOAO,ridge,physics_informed,0.00015384268608485487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,E0,LOAO,mlp,raw,0.00015384268608485487,0.0001436758865919861,3.0255305974949225e-05,9.567567818614082e-06,1.0166799492868783e-05,0.06608568630465209,6.608568630465209,False,10,50,50
4.0,E0,LOAO,mlp,physics_informed,0.00015384268608485487,0.00015085459092513355,2.879818314140355e-05,9.106785120149809e-06,2.9880951597213224e-06,0.019423056342588698,1.9423056342588698,False,10,50,50
4.0,E0,LOARO,ridge,physics_informed,0.0001785440581652864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,E0,LOARO,mlp,raw,0.0001785440581652864,9.130669682880821e-05,8.541460448486512e-06,2.701046956146068e-06,8.72373613364782e-05,0.4886041139253068,48.86041139253068,True,10,70,70
4.0,E0,LOARO,mlp,physics_informed,0.0001785440581652864,8.99864531977939e-05,5.459718526210341e-06,1.7265145926242388e-06,8.855760496749251e-05,0.4959986116452595,49.59986116452595,True,10,70,70
4.0,dE1,LOAO,ridge,physics_informed,9.880990020746484e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,dE1,LOAO,mlp,raw,9.880990020746484e-05,0.0002529929865711971,5.5094898035954605e-05,1.7422536524835397e-05,-0.00015418308636373226,-1.5604011950219956,-156.04011950219956,False,10,50,50
4.0,dE1,LOAO,mlp,physics_informed,9.880990020746484e-05,0.00030004087708269077,0.000133982401315779,4.236895545366024e-05,-0.00020123097687522594,-2.036546706885789,-203.6546706885789,False,10,50,50
4.0,dE1,LOARO,ridge,physics_informed,0.0001041253486557378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,dE1,LOARO,mlp,raw,0.0001041253486557378,6.760606217252938e-05,7.0604239405418235e-06,2.2327020898493404e-06,3.651928648320842e-05,0.35072426603774964,35.072426603774964,True,10,70,70
4.0,dE1,LOARO,mlp,physics_informed,0.0001041253486557378,6.706305389542345e-05,8.12189948641463e-06,2.5683701304022014e-06,3.706229476031435e-05,0.3559392140222336,35.59392140222336,True,10,70,70
