n,aspect_ratio,a_root,b_root,Ekin_target,Ekin_pred,dE1_pred,dE2_pred,Q_pred,geometry_hash,N_sites,N_A,N_B,imbalance_ratio,is_kwant_verified,requested_aspect_ratio,E0_Kwant,E1_Kwant,E2_Kwant,E3_Kwant,Ekin_Kwant,dE1_Kwant,dE2_Kwant,Q_Kwant,S_Kwant,failure_mode
1.2,0.67,34.117801001687525,22.858926671130643,0.010689289799576063,0.010689289799576118,0.012499356109108888,0.00726548619145248,1.169334571657375,3187f0c7eeab1ba88e0a95dff7aefed76c8ad80ef09f74391d58f3191ebedb85,1829,921,908,0.007107709130672498,True,0.67,-3.9893458861208373,-3.9769267678320164,-3.9695925459296153,-3.9619561492442794,0.010654113879162708,0.012419118288820918,0.007334221902401072,1.165664120890448,0.6883934211314681,ok
1.2,0.675,33.9705553203332,22.93012484122491,0.010689289799576063,0.010689289799576172,0.012553620379458761,0.0071584056569111995,1.1744110801408443,93e5b8e7eed2a42f6845b1b77d47ee08abc4f0b901bf6f431452aa17331451ef,1831,919,912,0.0038230475150191155,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.68,33.82498760014404,23.000991568097948,0.010689289799576063,0.010689289799576273,0.012607925891473776,0.007051244869181458,1.1794914468474378,efcfdbcba9457b4ee5d4fbb10bc0e8498c1670394ecd175abd74e1b6aa75255a,1837,923,914,0.004899292324442025,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.685,33.68106719300907,23.071531027211215,0.010689289799576063,0.010689289799575874,0.012662272375765855,0.006944004352470643,1.1845756465755344,f2a977eca941e9a143e21949cc842ad6ecf38db2c94f1e67170df2eeed56ae35,1841,923,918,0.0027159152634437804,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.69,33.53876422328571,23.14174731406714,0.010689289799576063,0.010689289799576063,0.012716659565290063,0.0068366846264313885,1.189663654342537,1ba6f7a6e4a9fa6bf563f50a5738176d89b58f8befedcfaf029c62ead791bc13,1829,915,914,0.0005467468562055768,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.695,33.39804956295493,23.211644446253676,0.010689289799576063,0.010689289799576064,0.012771087195314779,0.006729286206209302,1.1947554453824685,24589fc163c0b3f1e70285df9758fb5a6e68563c9afce9a05d9bc59579ae9654,1813,899,914,0.00827357970215113,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.7,33.25889480773691,23.281226365415833,0.010689289799576063,0.010689289799576064,0.012825555003400234,0.006621809602493034,1.1998509951436525,97f6f5bd4d5fd03983c2cd21761be0b4202e640b564d192d131bdbb00f91f22c,1817,899,918,0.010456796917996699,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.705,33.121272254140735,23.350496939169215,0.010689289799576063,0.010689289799576064,0.012880062729372354,0.006514255321561848,1.2049502792863913,e3cc75298116c64f947c8c19e901d632e3dd18cf728f2de7819850410ec38e94,1821,903,918,0.008237232289950576,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.71,32.985154877396596,23.41945996295158,0.010689289799576063,0.010689289799576061,0.012934610115298562,0.006406623865333183,1.2100532736806846,05528c7af4ea6b2f1862d2416fffdc3e9ef1ebf1b92bd8458ddde0f024a62a80,1815,903,912,0.0049586776859504135,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.725,32.58557330132462,23.62454064346035,0.010689289799576063,0.010689289799576063,0.013098487686595094,0.006083271399589615,1.2253842801712216,9c67d0e004a31dff1df5fa3b5c45987f6ec9cfa6660db64fa3bc2254df6092bc,1811,903,908,0.0027609055770292656,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.735,32.32624468238504,23.759789841553,0.010689289799576063,0.010689289799576063,0.013207933070497883,0.005867326222366611,1.2356230692727321,fed18b5ba404e27170510ba4386a512af9730abb6a7a02e35e6f625659090581,1807,903,904,0.0005534034311012728,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.74,32.19862627956298,23.826983446876604,0.010689289799576063,0.010689289799576063,0.013262713122093097,0.005759242016188323,1.2407478299090644,c4c3ff72cd4f3632607b044006b6df4c169d67a8d01f6fad913e7731c1a9b509,1803,907,896,0.006100942872989462,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.745,32.07234119892275,23.893894193197447,0.010689289799576063,0.010689289799576064,0.013317531088891919,0.0056510840298662005,1.2458761375727778,73081997921962ce7d6033a488a373ef7667bceceea364353e5adcc0c812f39c,1795,907,888,0.010584958217270195,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.75,31.947367144882126,23.960525358661595,0.010689289799576063,0.010689289799576063,0.01337238673005219,0.005542852732061022,1.2510079697327074,e4f13f5ca4b733a4cee7f44255e298570df1e600f6e790533b09f262124ed7c9,1793,905,888,0.009481316229782488,True,0.75,-3.989460139327021,-3.976104219060983,-3.9709580973199463,-3.9599697112001793,0.010539860672979184,0.013355920266037824,0.00514612174103668,1.2671818613578176,0.488253298663585,ok
