target,shape,model0_r2,model1_r2,improvement,n
eta_gap,all,0.41363945128520385,0.9065987960048584,0.4929593447196545,1262
abs_eta_gap,all,0.5074561314894421,0.8469877858335293,0.33953165434408716,1262
eta_center,all,0.8556250047250353,0.9214203388083676,0.06579533408333227,1262
eta_gap,2.0,0.5636201119416857,0.9118348583692718,0.3482147464275861,538
abs_eta_gap,2.0,0.5913502515288447,0.9135186713554251,0.3221684198265804,538
eta_center,2.0,0.8614053566011242,0.9234463218857745,0.06204096528465031,538
eta_gap,4.0,0.38070159374618817,0.9311813749188675,0.5504797811726794,724
abs_eta_gap,4.0,0.5554287177258742,0.853627507362553,0.2981987896366788,724
eta_center,4.0,0.8179618236760824,0.8901694282997146,0.07220760462363218,724
