shape_n,scale_a0,deformation_mode,delta,xi,metric,frac_ambiguous,n_placements,mean,std,median,min,max,q5,q25,q75,q95,frac_neg,count
2.0,24.3,area_preserving,0.001,0.024300000000000002,chi_minus,0.0,256,0.0006190384295133577,0.025183001851570668,0.0,-0.06973897807771579,0.05588177669757499,-0.047949454428430904,-0.007713636618666975,0.011855116008430144,0.04913486270308187,0.40625,256
2.0,24.3,area_preserving,0.001,0.024300000000000002,chi_plus,0.0,256,-0.00030118879101696805,0.016263364080827437,0.0,-0.09611583252278066,0.04523116251586856,-0.026477794880852557,-0.0016625712313533825,0.004610901618740115,0.025396411406419794,0.3984375,256
2.0,24.3,area_preserving,0.001,0.024300000000000002,chi_center,0.0,256,0.00015892481925947055,0.01635099544312958,0.0,-0.054407277076506944,0.028458539094611268,-0.02786535660681544,-0.012214106447139272,0.012750766396729674,0.027230103260778016,0.38671875,256
2.0,24.3,area_preserving,0.001,0.024300000000000002,chi_split,0.0,256,-0.0009202272205303258,0.026980381373081397,0.0,-0.08536038281503622,0.05468346395387513,-0.04628444232390727,-0.012697025925878513,0.012010577350896057,0.04694469392019229,0.4765625,256
2.0,24.3,area_preserving,0.001,0.024300000000000002,legacy_raw_ratio,0.0,256,0.07870732593209286,0.04268250277005362,0.08203288398211939,0.0,0.18587359461896824,0.008729647944516472,0.04155307224051885,0.1158490298651671,0.14197156309014858,0.0,256
2.0,24.3,area_preserving,0.001,0.024300000000000002,sorted_baseline_corrected_ratio,0.0,256,0.0019261435583537573,0.02428388302193755,0.0,-0.07675469900503273,0.05468346395387513,-0.042250758738981986,-0.007792641829706959,0.015416227526210413,0.04694469392019229,0.4453125,256
2.0,24.3,area_preserving,0.002,0.048600000000000004,chi_minus,0.0,256,1.8107685681618968e-05,0.01799398908768279,-2.220446049250313e-13,-0.04663455351039403,0.04837440491667344,-0.027650409201940285,-0.011570005234995406,0.009954131666656263,0.027940888348843007,0.5078125,256
2.0,24.3,area_preserving,0.002,0.048600000000000004,chi_plus,0.0,256,-0.0006897586865301647,0.014268369339620347,4.440892098500626e-13,-0.04805791626139033,0.024500874728605737,-0.027849766167487022,-0.007392362707359101,0.007174751686878089,0.020132626303959178,0.44140625,256
2.0,24.3,area_preserving,0.002,0.048600000000000004,chi_center,0.0,256,-0.0003358255004255739,0.010918026246736018,0.0,-0.028397935429858023,0.026389055173048348,-0.019730340346246766,-0.0065281457432009304,0.006926462149614565,0.0138818449563205,0.48828125,256
2.0,24.3,area_preserving,0.002,0.048600000000000004,chi_split,0.0,256,-0.0007078663722117837,0.024040108679062932,0.0,-0.06625173753715963,0.05171133075099199,-0.04361571793332075,-0.013181275742346621,0.0193813860531189,0.03624732655471696,0.49609375,256
2.0,24.3,area_preserving,0.002,0.048600000000000004,legacy_raw_ratio,0.0,256,0.043302208408711566,0.023719377795778294,0.04492703794034547,2.220446049250313e-13,0.09293679730970617,0.007763176403996486,0.019840276811233792,0.0597577888561962,0.08512297633817001,0.0,256
2.0,24.3,area_preserving,0.002,0.048600000000000004,sorted_baseline_corrected_ratio,0.0,256,0.004911617221842017,0.018886489850087913,0.0010555364620135066,-0.04783664509400154,0.05171133075099199,-0.02493160921829274,-0.00621376425363751,0.020590305373824336,0.03624732655471696,0.40625,256
2.0,24.3,area_preserving,0.00205761316872428,0.05,chi_minus,0.0,256,-0.0005018658520250693,0.017706118741954286,0.0,-0.04532878601210299,0.04701992157900658,-0.026876197744070126,-0.011417551175897376,0.008806166175423957,0.0271585434750754,0.4921875,256
