n,a,residual_after_effective_radius,residual_after_boundary_fraction,residual_after_best_simple_baseline,N_sites,N_boundary_sites,boundary_fraction,P_continuum,A_continuum,area_pixelation_proxy,boundary_pixelation_proxy,best_baseline_name,best_baseline_R2
1.2,24.0,0.04928142566947891,0.04931867704196788,0.042541030734981375,1341.0,104.0,0.07755406413124534,137.4390435505964,1354.9710666835233,0.010310970490107511,0.24330090407160215,area_pixelation_proxy,0.06594156193225253
1.2,30.0,-0.0314496913205673,-0.03142900319428175,-0.027699313015072568,2121.0,132.0,0.06223479490806223,171.7988044382455,2117.142291693005,0.0018221299164120242,0.2316593795188575,area_pixelation_proxy,0.06594156193225253
1.2,36.0,-0.0521038193614487,-0.05209383071665351,-0.04947224931789995,3057.0,160.0,0.05233889434085705,206.15856532589459,3048.6849000379275,0.0027274383003533962,0.2238983631503611,area_pixelation_proxy,0.06594156193225253
1.2,48.0,0.01438814448830783,0.01438392075928659,0.017908559021386293,5409.0,212.0,0.03919393603253836,274.8780871011928,5419.884266734093,0.002008210175427204,0.22874899838067145,area_pixelation_proxy,0.06594156193225253
1.2,60.0,-0.01819345001817929,-0.018205900392358202,-0.01458900322511231,8485.0,268.0,0.031585150265173834,343.597608876491,8468.56916677202,0.0019402136186652552,0.22001785496611292,area_pixelation_proxy,0.06594156193225253
1.2,72.0,0.018105172354224486,0.018086966352630063,0.02312037147640659,12185.0,320.0,0.026261797291752154,412.31713065178917,12194.73960015171,0.0007986722530416966,0.2238983631503611,area_pixelation_proxy,0.06594156193225253
1.2,96.0,0.019976015132710856,0.019950770412283117,0.025377578068178253,21669.0,428.0,0.019751719045641238,549.7561742023856,21679.537066936373,0.00048603745106914794,0.22147304553520608,area_pixelation_proxy,0.06594156193225253
2.0,24.0,0.01115760524344811,0.01119060269437353,0.005852029383047323,1793.0,132.0,0.0736196319018405,150.79644675218452,1809.5573684677206,0.009149954986915333,0.12464780939483394,area_pixelation_proxy,0.06594156193225253
2.0,30.0,-0.016450074286829874,-0.016432285348070907,-0.013259794069897699,2821.0,168.0,0.05955334987593052,188.4955584402307,2827.4333882308133,0.0022753456394736917,0.10873231502019476,area_pixelation_proxy,0.06594156193225253
2.0,36.0,0.00042351358932624095,0.00043026648313780396,0.0008091596456811815,4053.0,200.0,0.04934616333580064,226.1946701282768,4071.5040790523713,0.004544777235413704,0.11580586807558996,area_pixelation_proxy,0.06594156193225253
2.0,48.0,0.0020940619101486035,0.002087633824173529,0.00378868900735732,7213.0,268.0,0.03715513655899071,301.59289350436904,7238.229473870882,0.003485586352568363,0.11138489741596778,area_pixelation_proxy,0.06594156193225253
2.0,60.0,-0.002697635351045946,-0.002712055314222882,0.0010390021698947764,11289.0,336.0,0.0297634865798565,376.9911168804614,11309.733552923253,0.001833248575329538,0.10873231502019476,area_pixelation_proxy,0.06594156193225253
2.0,72.0,0.005201229895787307,0.0051815248254086545,0.007787481759954451,16241.0,404.0,0.024875315559386737,452.3893402565536,16286.016316209485,0.002764108504833084,0.10696392675634585,area_pixelation_proxy,0.06594156193225253
2.0,96.0,0.00027186099073972514,0.0002454511841900877,0.004740958772366844,28917.0,540.0,0.018674136321195144,603.1857870087381,28952.91789548353,0.001240562198711332,0.10475344142653471,area_pixelation_proxy,0.06594156193225253
4.0,24.0,-0.0019118520984937604,-0.0018762707127344944,-0.0137849545241379,2105.0,160.0,0.07600950118764846,168.4247501260716,2135.8940282511803,0.01446421397435884,0.05002085572200866,area_pixelation_proxy,0.06594156193225253
4.0,30.0,0.004351710326640834,0.004370776752991069,-0.0060633167696776385,3293.0,200.0,0.06073489219556635,210.5309376575895,3337.3344191424694,0.01328438015925931,0.050020855722008754,area_pixelation_proxy,0.06594156193225253
4.0,36.0,-0.001302133203294531,-0.0012942305421110442,-0.006810621096167575,4761.0,240.0,0.05040957781978576,252.6371251891074,4805.7615635651555,0.009314145733844753,0.05002085572200871,area_pixelation_proxy,0.06594156193225253
4.0,48.0,-0.001982904901961291,-0.0019887483757156216,-0.0038751345375781215,8489.0,320.0,0.03769584167746495,336.8495002521432,8543.576113004721,0.006387970597189096,0.05002085572200866,area_pixelation_proxy,0.06594156193225253
4.0,60.0,0.00023233954424117798,0.0002183227407138857,-0.0008324902021154806,13273.0,400.0,0.0301363670609508,421.061875315179,13349.337676569878,0.005718461725922322,0.050020855722008754,area_pixelation_proxy,0.06594156193225253
4.0,72.0,0.0005073801401627165,0.0004881248557235412,0.0009777725659533745,19137.0,484.0,0.025291320478653918,505.2742503782148,19223.046254260622,0.004476202841240656,0.04210436285302545,area_pixelation_proxy,0.06594156193225253
4.0,96.0,0.00010545162707842337,7.928666926868528e-05,0.0024442441524514294,34073.0,644.0,0.018900595779649577,673.6990005042863,34174.304452018885,0.002964345687301922,0.04408348607027121,area_pixelation_proxy,0.06594156193225253
