level_or_group,fit_model,exponent_p,coefficient_c,intercept_if_used,R2,RMSE,leave_one_size_out_p_min,leave_one_size_out_p_max,leave_one_size_out_stable_true_false,verdict_for_level
level_0,abs_power_law,2.9610312165658064,2.8870408510488095,1.0602320505802754,0.9968518146230158,1.0438496781498138e-05,2.903763258731241,3.0393974383576627,True,passed
level_0,signed_power_law,2.9610312165658064,-2.8870408510488095,1.0602320505802754,0.9968518146230158,1.0438496781498138e-05,2.903763258731241,3.0393974383576627,True,passed
level_1,abs_power_law,2.9831164670390957,8.16166448361703,2.099448129010174,0.9970789995261962,2.6084548130990036e-05,2.927608745326455,3.0563973717497137,True,passed
level_1,signed_power_law,2.9831164670390957,-8.16166448361703,2.099448129010174,0.9970789995261962,2.6084548130990036e-05,2.927608745326455,3.0563973717497137,True,passed
level_2,abs_power_law,2.983116477191699,8.161664775518293,2.0994481647750916,0.9970789996125461,2.6084548659581956e-05,2.9276087560401804,3.056397384861069,True,passed
level_2,signed_power_law,2.983116477191699,-8.161664775518293,2.0994481647750916,0.9970789996125461,2.6084548659581956e-05,2.9276087560401804,3.056397384861069,True,passed
level_3,abs_power_law,3.0453474840573094,19.968952095543898,2.9941786721172132,0.9947810105220429,7.926596615045288e-05,2.9607869579207198,3.1564815179401338,True,passed
level_3,signed_power_law,3.0453474840573094,-19.968952095543898,2.9941786721172132,0.9947810105220429,7.926596615045288e-05,2.9607869579207198,3.1564815179401338,True,passed
level_4,abs_power_law,2.969291098696197,13.68372848518795,2.6162074251462153,0.9988776824007284,1.1579281184575368e-05,2.934360526655022,3.010949873067801,True,passed
level_4,signed_power_law,2.969291098696197,-13.68372848518795,2.6162074251462153,0.9988776824007284,1.1579281184575368e-05,2.934360526655022,3.010949873067801,True,passed
level_5,abs_power_law,3.019856418762495,20.279232517533192,3.0095973337037716,0.9973993814948005,5.286459310421985e-05,2.9669813906093148,3.0853055542718164,True,passed
level_5,signed_power_law,3.019856418762495,-20.279232517533192,3.0095973337037716,0.9973993814948005,5.286459310421985e-05,2.9669813906093148,3.0853055542718164,True,passed
group_m0_s1,abs_power_law,2.9610312165658064,2.8870408510488095,1.0602320505802754,0.9968518146230158,1.0438496781498138e-05,2.903763258731241,3.0393974383576627,True,passed
group_m0_s1,signed_power_law,2.9610312165658064,-2.8870408510488095,1.0602320505802754,0.9968518146230158,1.0438496781498138e-05,2.903763258731241,3.0393974383576627,True,passed
group_m0_s2,abs_power_law,3.019856418762495,20.279232517533192,3.0095973337037716,0.9973993814948005,5.286459310421985e-05,2.9669813906093148,3.0853055542718164,True,passed
group_m0_s2,signed_power_law,3.019856418762495,-20.279232517533192,3.0095973337037716,0.9973993814948005,5.286459310421985e-05,2.9669813906093148,3.0853055542718164,True,passed
group_m1_s1,abs_power_law,2.983116472115396,8.161664629567625,2.0994481468926285,0.9970789995693712,2.6084548395285962e-05,2.9276087506833153,3.0563973783053897,True,passed
group_m1_s1,signed_power_law,2.983116472115396,-8.161664629567625,2.0994481468926285,0.9970789995693712,2.6084548395285962e-05,2.9276087506833153,3.0563973783053897,True,passed
group_m2_s1,abs_power_law,3.0102703200002296,16.748942674135055,2.8183351323464407,0.9973566257009455,4.560826975230379e-05,2.957283746345834,3.077116281205137,True,passed
group_m2_s1,signed_power_law,3.0102703200002296,-16.748942674135055,2.8183351323464407,0.9973566257009455,4.560826975230379e-05,2.957283746345834,3.077116281205137,True,passed
