a,level_index,E_TB,E_kin_TB,lambda_bessel,lambda_bessel_over_a2,residual,scaled_Ekin,scaled_residual,degeneracy_group
24.0,0,-3.9901748927483616,0.009825107251638432,5.783185962946783,0.010040253407893721,-0.00021514615625528935,5.659261776943737,-0.12392418600304667,m0_s1
24.0,1,-3.9750809329742123,0.024919067025787722,14.681970642123895,0.02548953236479843,-0.0005704653390107076,14.353382606853728,-0.32858803527016756,m1_s1
24.0,2,-3.9750809329741816,0.024919067025818364,14.681970642123895,0.02548953236479843,-0.0005704653389800654,14.353382606871378,-0.3285880352525177,m1_s1
24.0,3,-3.955305125330446,0.04469487466955391,26.374616427163392,0.045789264630492,-0.0010943899609380942,25.74424780966305,-0.6303686175003422,m2_s1
24.0,4,-3.9552807872199627,0.04471921278003732,26.374616427163392,0.045789264630492,-0.0010700518504546813,25.758266561301497,-0.6163498658618964,m2_s1
24.0,5,-3.9483716473533903,0.0516283526466097,30.471262343662087,0.052901497124413346,-0.0012731444778036477,29.737931124447186,-0.7333312192149011,m0_s2
30.0,0,-3.9937139130333588,0.0062860869666412356,5.783185962946783,0.006425762181051981,-0.0001396752144107458,5.657478269977112,-0.12570769296967121,m0_s1
30.0,1,-3.9840514745864692,0.015948525413530756,14.681970642123895,0.016313300713470993,-0.00036477529994023705,14.35367287217768,-0.32829776994621335,m1_s1
30.0,2,-3.984051474586438,0.015948525413561843,14.681970642123895,0.016313300713470993,-0.0003647752999091508,14.353672872205658,-0.3282977699182357,m1_s1
30.0,3,-3.97146815831593,0.02853184168407008,26.374616427163392,0.02930512936351488,-0.0007732876794448,25.678657515663073,-0.69595891150032,m2_s1
30.0,4,-3.9712785851235455,0.02872141487645452,26.374616427163392,0.02930512936351488,-0.0005837144870603599,25.849273388809067,-0.5253430383543238,m2_s1
30.0,5,-3.9669379939199043,0.033062006080095685,30.471262343662087,0.03385695815962454,-0.0007949520795288573,29.755805472086116,-0.7154568715759715,m0_s2
36.0,0,-3.995608282027709,0.004391717972290987,5.783185962946783,0.0044623348479527645,-7.061687566177737e-05,5.691666492089119,-0.09151947085766347,m0_s1
36.0,1,-3.988855439469574,0.011144560530425895,14.681970642123895,0.011328681051021524,-0.00018412052059562853,14.44335044743196,-0.23862019469193457,m1_s1
36.0,2,-3.9888554394695435,0.011144560530456538,14.681970642123895,0.011328681051021524,-0.00018412052056498637,14.443350447471673,-0.23862019465222234,m1_s1
36.0,3,-3.9800045758845446,0.019995424115455407,26.374616427163392,0.020350784280218668,-0.00035536016476326107,25.914069653630207,-0.46054677353318635,m2_s1
36.0,4,-3.9799783007052096,0.020021699294790363,26.374616427163392,0.020350784280218668,-0.00032908498542830525,25.94812228604831,-0.4264941411150836,m2_s1
36.0,5,-3.9768881485312213,0.0231118514687787,30.471262343662087,0.023511776499739265,-0.00039992503096056634,29.952959503537194,-0.5183028401248939,m0_s2
48.0,0,-3.997519491313106,0.0024805086868942006,5.783185962946783,0.0025100633519734303,-2.955466507922975e-05,5.715092014604238,-0.06809394834254534,m0_s1
48.0,1,-3.9937041884675732,0.006295811532426754,14.681970642123895,0.0063723830911996075,-7.657155877285361e-05,14.50554977071124,-0.17642087141265472,m1_s1
48.0,2,-3.993704188467528,0.006295811532472051,14.681970642123895,0.0063723830911996075,-7.657155872755651e-05,14.505549770815605,-0.1764208713082902,m1_s1
48.0,3,-3.9886991399952687,0.011300860004731295,26.374616427163392,0.011447316157623,-0.0001464561528917059,26.037181450900903,-0.3374349762624904,m2_s1
48.0,4,-3.988688624431115,0.011311375568884952,26.374616427163392,0.011447316157623,-0.00013594058873804896,26.06140931071093,-0.3132071164524648,m2_s1
48.0,5,-3.986939207464377,0.0130607925356232,30.471262343662087,0.013225374281103337,-0.0001645817454801364,30.092066002075853,-0.3791963415862343,m0_s2
60.0,0,-3.9984101629916937,0.001589837008306283,5.783185962946783,0.0016064405452629953,-1.66035369567124e-05,5.723413229902619,-0.05977273304416464,m0_s1
60.0,1,-3.9959644575214566,0.00403554247854343,14.681970642123895,0.004078325178367748,-4.278269982431818e-05,14.527952922756349,-0.15401771936754544,m1_s1
60.0,2,-3.9959644575214344,0.004035542478565635,14.681970642123895,0.004078325178367748,-4.2782699802113716e-05,14.527952922836285,-0.15401771928760938,m1_s1
60.0,3,-3.9927550636745623,0.007244936325437656,26.374616427163392,0.00732628234087872,-8.134601544106373e-05,26.081770771575563,-0.29284565558782943,m2_s1
60.0,4,-3.9927490540958557,0.007250945904144324,26.374616427163392,0.00732628234087872,-7.533643673439654e-05,26.103405254919565,-0.27121117224382757,m2_s1
60.0,5,-3.9916268767152028,0.008373123284797224,30.471262343662087,0.008464239539906136,-9.111625510891189e-05,30.143243825270005,-0.3280185183920828,m0_s2
72.0,0,-3.9988927316484704,0.0011072683515296333,5.783185962946783,0.0011155837119881911,-8.315360458557809e-06,5.740079134329619,-0.04310682861716368,m0_s1
72.0,1,-3.997189243644113,0.002810756355887012,14.681970642123895,0.002832170262755381,-2.1413906868369102e-05,14.57096094891827,-0.11100969320562543,m1_s1
72.0,2,-3.99718924364406,0.0028107563559398585,14.681970642123895,0.002832170262755381,-2.1413906815522486e-05,14.570960949192227,-0.11100969293166857,m1_s1
72.0,3,-3.994952444814962,0.005047555185038188,26.374616427163392,0.005087696070054667,-4.0140885016478646e-05,26.16652607923797,-0.2080903479254253,m2_s1
72.0,4,-3.9949505324229455,0.0050494675770544895,26.374616427163392,0.005087696070054667,-3.8228493000177534e-05,26.176439919450473,-0.19817650771292034,m2_s1
72.0,5,-3.994167614908797,0.005832385091203207,30.471262343662087,0.005877944124934816,-4.555903373160922e-05,30.235084312797426,-0.23617803086466221,m0_s2
96.0,0,-3.9993765042418357,0.0006234957581643386,5.783185962946783,0.0006275158379933576,-4.020079829019025e-06,5.746136907242544,-0.03704905570423933,m0_s1
96.0,1,-3.9984172061822214,0.0015827938177785938,14.681970642123895,0.0015930957727999019,-1.0301955021308016e-05,14.587027824647521,-0.09494281747637467,m1_s1
96.0,2,-3.99841720618202,0.0015827938179802103,14.681970642123895,0.0015930957727999019,-1.0301954819691515e-05,14.587027826505619,-0.094942815618277,m1_s1
96.0,3,-3.997157035323444,0.0028429646765562033,26.374616427163392,0.00286182903940575,-1.8864362849546797e-05,26.20076245914197,-0.17385396802142328,m2_s1
96.0,4,-3.9971567731802575,0.0028432268197424726,26.374616427163392,0.00286182903940575,-1.8602219663277526e-05,26.203178370746627,-0.17143805641676568,m2_s1
96.0,5,-3.9967153907865143,0.003284609213485723,30.471262343662087,0.003306343570275834,-2.173435679011116e-05,30.270958511484423,-0.20030383217766445,m0_s2
