n,rAR,N_grid,h,num_interior_points,level_index,lambda_fd_unit,lambda_bessel_unit_if_available,abs_error_vs_bessel_if_available,rel_error_vs_bessel_if_available,degeneracy_group_if_available,source
2.0,1.0,101,0.02,7825,0,5.717858858393393,5.783185962946783,0.06532710455338986,0.011296040793421568,m0_s1,existing_grid
2.0,1.0,101,0.02,7825,1,14.512857825779209,14.681970642123895,0.16911281634468622,0.011518400388261664,m1_s1,existing_grid
2.0,1.0,101,0.02,7825,2,14.512857825780989,14.681970642123895,0.1691128163429063,0.011518400388140433,m1_s1,existing_grid
2.0,1.0,101,0.02,7825,3,26.048448554306685,26.374616427163392,0.3261678728567077,0.012366734271092004,m2_s1,existing_grid
2.0,1.0,101,0.02,7825,4,26.07782135650338,26.374616427163392,0.29679507066001065,0.011253057328042862,m2_s1,existing_grid
2.0,1.0,101,0.02,7825,5,30.108247907319004,30.471262343662087,0.3630144363430823,0.011913337631008516,m0_s2,existing_grid
2.0,1.0,126,0.016,12256,0,5.722037508949555,5.783185962946783,0.06114845399722846,0.010573489144047977,m0_s1,new_grid
2.0,1.0,126,0.016,12256,1,14.524631406294551,14.681970642123895,0.15733923582934395,0.010716493014767616,m1_s1,new_grid
2.0,1.0,126,0.016,12256,2,14.524631406298557,14.681970642123895,0.15733923582533826,0.010716493014494786,m1_s1,new_grid
2.0,1.0,126,0.016,12256,3,26.071585534483187,26.374616427163392,0.303030892680205,0.011489490037402458,m2_s1,new_grid
2.0,1.0,126,0.016,12256,4,26.10248832081348,26.374616427163392,0.2721281063499106,0.010317803373612064,m2_s1,new_grid
2.0,1.0,126,0.016,12256,5,30.136973880810967,30.471262343662087,0.33428846285112,0.010970614183322498,m0_s2,new_grid
2.0,1.0,151,0.013333333333333334,17647,0,5.734380039341994,5.783185962946783,0.04880592360478886,0.00843927964922645,m0_s1,existing_grid
2.0,1.0,151,0.013333333333333334,17647,1,14.555707074823799,14.681970642123895,0.12626356730009647,0.008599905992035901,m1_s1,existing_grid
2.0,1.0,151,0.013333333333333334,17647,2,14.557505415521332,14.681970642123895,0.1244652266025632,0.008477419662280298,m1_s1,existing_grid
2.0,1.0,151,0.013333333333333334,17647,3,26.13917049650014,26.374616427163392,0.23544593066325348,0.00892698975598243,m2_s1,existing_grid
