n,n_verified_points,Q_iso,best_noniso_Q,Q_iso_minus_best_noniso,noniso_beats_iso,spearman_r_ar_Q,S_iso,max_noniso_S,spearman_r_ar_S,supports_near_isotropy_optimum,notes
1.2,6,1.5160295869397575,1.5143963659677824,0.0016332209719751578,False,1.0,6.9372571339731396e-12,0.1885512919784966,-1.0,ambiguous,isotropic_advantage_within_threshold
2.0,6,1.5367323432683277,1.5327546219197576,0.003977721348570107,False,1.0,8.385541270138865e-12,0.26009763605987407,-1.0,ambiguous,isotropic_advantage_within_threshold
3.0,6,1.5255277762577983,1.5255277762582324,-4.340972026284362e-13,True,0.942857142857143,2.0912218457643247e-11,0.2901045173803714,-0.942857142857143,ambiguous,isotropic_advantage_within_threshold; noniso_gain_within_threshold=4.340972026284362e-13
4.0,6,1.5113304407527937,1.5120400635299842,-0.000709622777190555,True,0.8285714285714287,1.7211599800802337e-11,0.3109497260385204,-1.0,ambiguous,isotropic_advantage_within_threshold; noniso_gain_within_threshold=0.000709622777190555
