n,n_feasible_roots,n_unique_geometries,n_selected_candidates,best_candidate_Q_Kwant,isotropic_same_n_Q_Kwant,best_training_Q_Kwant,random_best_of_5_Q_Kwant,best_gain_vs_isotropic_percent,best_gain_vs_training_percent,best_gain_vs_random_percent,main_success_bool,notes
1.2,53,53,5,1.5160295869298364,1.516029586936693,1.5159264178177203,1.46796974302169,-4.5228255828039407e-10,0.006805680731164492,3.273898807288715,False,LOAO/LOARO Ridge error scale loaded; no_root=0; duplicate_training=0; duplicate_candidate=14
2.0,60,60,5,1.5367475903713435,1.536747590374287,1.536752229151908,1.475579172237961,-1.9155034606393572e-10,-0.0003018561142493806,4.145383676066015,False,LOAO/LOARO Ridge error scale loaded; no_root=0; duplicate_training=0; duplicate_candidate=7
3.0,65,65,5,1.525527776256471,1.5255277762587212,1.5250299615815381,1.472612071458244,-1.4750305181782842e-10,0.032642943907577826,3.5933227646183505,False,LOAO/LOARO Ridge error scale loaded; no_root=0; duplicate_training=0; duplicate_candidate=2
4.0,61,61,5,1.514312730907552,1.5143127309079696,1.5116547756515666,1.461138938926675,-2.7581218419365386e-11,0.17583083775458444,3.6392016230802446,False,LOAO/LOARO Ridge error scale loaded; no_root=0; duplicate_training=0; duplicate_candidate=6
