n,a0,path,value,mean16,mean32,median16,median32,mean_over_sigma,median_over_iqr,maxq_over_iqr,ecdf_D,w1_over_iqr,d_fneg,d_famb,status
2.0,33.7,xi,0.1,-0.03711302636841991,-0.1600902615309137,0.8571056540698715,0.8514594553279256,0.0468308377464428,0.0011986622711591614,0.07656972820261795,0.05749206349206348,0.04006480385519407,0.035888888888888915,0.0078125,GRID_UNRESOLVED
2.0,33.7,xi,0.4,-0.36210706860436814,-0.36579988114480855,-1.8225948969233579,-1.8738079711512396,0.0014532604665605763,0.010227773512624836,0.006235415548873907,0.050514403292181084,0.011910887009819949,0.0030349794238683225,0.01171875,GRID_UNRESOLVED
4.0,33.7,xi,0.1,-0.47145639123220817,-0.9822734744365386,-0.3308302278797,-0.03886913432542175,0.1279322232953743,0.07667144828934709,0.6635988858667435,0.10264227642276423,0.17959808488404996,0.006300813008130013,0.0234375,GRID_UNRESOLVED
4.0,33.7,xi,0.4,-1.4147437834222156,-1.327052132435338,-2.052493221167901,0.2667614970352381,0.026874209818557492,0.4493200324481705,0.04872559367448362,0.04340117722147363,0.036989812024756215,0.013757889511382126,0.01171875,GRID_UNRESOLVED
4.0,33.7,delta,0.004,-0.9416547568987215,-1.1038124592304852,-0.2953699076894384,-0.2953699076639542,0.043138488916336475,5.369449485149825e-12,0.1595652479810626,0.07983539094650205,0.08676577928865155,0.019495884773662597,0.01171875,GRID_UNRESOLVED
