xi,n_ok,L_old_mean,B_baseline_mean,C_sorted_bc_mean,signed_chih_split_mean,signed_chih_split_median
0.05,252,9.011120605406772,9.424876731444462,-0.413756126037692,-0.9007318582728603,-0.1803662147699189
0.1,252,4.599733075886355,4.704026416677462,-0.10429334079110884,-0.9930184370176947,0.14578067000503286
0.2,248,3.20093026756504,2.393367671443545,0.8075625961214958,-1.4187184746474688,0.318616420413546
0.4,240,2.8956290189561154,1.2327307178196927,1.6628983011364225,-1.2877042059672363,-0.7081349928194672
0.8,228,2.926447045469432,0.6446639551405533,2.281783090328879,-0.20518859645073736,2.0423011337006547
