a,shape_id,n,rAR,mean_dE1_weak,std_dE1_weak,min_dE1_weak,max_dE1_weak,max_abs_change_dE1_from_alpha0_weak,robust_gap_score
30.0,circle_n2_r1,2.0,1.0,0.0034911347803783244,0.003785739333167452,9.970245956836266e-05,0.009662438446901955,0.009562735987333593,-0.0002946045527891278
30.0,ellipse_n2_r067,2.0,0.67,0.005405779472981598,0.003854436067816927,0.0003368674225829871,0.010532613397908008,0.010195745975325021,0.0015513434051646706
30.0,diamond_n12_r1,1.2,1.0,0.005643571661031355,0.004946288525826938,0.0001364196579678456,0.013194497057400945,0.013058077399433099,0.000697283135204417
30.0,squircle_n4_r1,4.0,1.0,0.0028442447424692485,0.0033682706812038507,5.056036181727563e-06,0.008423231477634907,0.00841817544145318,-0.0005240259387346022
36.0,circle_n2_r1,2.0,1.0,0.0020398224271188647,0.0027719658779743954,1.2302946883480104e-07,0.006752842558119365,0.00675271952865053,-0.0007321434508555306
36.0,ellipse_n2_r067,2.0,0.67,0.0031100075247303405,0.002813593834034141,0.00020847345929686512,0.007388808418411941,0.007180334959115076,0.0002964136906961996
36.0,diamond_n12_r1,1.2,1.0,0.003252129826935346,0.003624070247549839,6.339463202875706e-05,0.009187503664123575,0.009124109032094818,-0.0003719404206144932
36.0,squircle_n4_r1,4.0,1.0,0.001681064196323634,0.002432443430493152,9.680428725289403e-08,0.005852668121478555,0.005852571317191302,-0.0007513792341695179
