a,alpha,shape_a,shape_b,dE1_diff_alpha0,dE1_diff_alpha,delta_crossover,alpha0_separated,ranking_reversed,thresholded,weak_field,l_B,l_B_filter_pass,circle_symmetry_artifact_candidate,onset_artifact_candidate,qualifies_before_size_stability,initial_winner,field_winner,notes
30.0,0.01,ellipse_n2_r067,squircle_n4_r1,0.0021093819202731012,4.04813623511302e-07,0.001,True,False,False,False,3.989422804014327,False,False,False,False,ellipse_n2_r067,ellipse_n2_r067,no_thresholded_reversal
30.0,0.02,ellipse_n2_r067,squircle_n4_r1,0.0021093819202731012,5.674597680638271e-09,0.001,True,False,False,False,2.8209479177387813,False,False,False,False,ellipse_n2_r067,ellipse_n2_r067,no_thresholded_reversal
30.0,0.04,ellipse_n2_r067,squircle_n4_r1,0.0021093819202731012,-5.369864553017578e-10,0.001,True,True,False,False,1.9947114020071635,False,False,False,False,ellipse_n2_r067,squircle_n4_r1,no_thresholded_reversal
30.0,0.00125,diamond_n12_r1,squircle_n4_r1,0.0047712655797660375,0.004095398879389478,0.001,True,False,False,True,11.283791670955125,True,False,False,False,diamond_n12_r1,diamond_n12_r1,no_thresholded_reversal
30.0,0.0025,diamond_n12_r1,squircle_n4_r1,0.0047712655797660375,0.002199279593306791,0.001,True,False,False,True,7.978845608028654,True,False,False,False,diamond_n12_r1,diamond_n12_r1,no_thresholded_reversal
30.0,0.005,diamond_n12_r1,squircle_n4_r1,0.0047712655797660375,0.00013136362178611805,0.001,True,False,False,True,5.641895835477563,True,False,True,False,diamond_n12_r1,diamond_n12_r1,no_thresholded_reversal
30.0,0.01,diamond_n12_r1,squircle_n4_r1,0.0047712655797660375,2.501938656251923e-08,0.001,True,False,False,False,3.989422804014327,False,False,False,False,diamond_n12_r1,diamond_n12_r1,no_thresholded_reversal
30.0,0.02,diamond_n12_r1,squircle_n4_r1,0.0047712655797660375,1.93713276530616e-08,0.001,True,False,False,False,2.8209479177387813,False,False,False,False,diamond_n12_r1,diamond_n12_r1,no_thresholded_reversal
30.0,0.04,diamond_n12_r1,squircle_n4_r1,0.0047712655797660375,5.8478675235562605e-09,0.001,True,False,False,False,1.9947114020071635,False,False,False,False,diamond_n12_r1,diamond_n12_r1,no_thresholded_reversal
36.0,0.00125,circle_n2_r1,ellipse_n2_r067,-0.0006359658602925755,-0.0025025538773517653,0.001,False,False,False,True,11.283791670955125,True,True,False,False,ellipse_n2_r067,ellipse_n2_r067,no_thresholded_reversal
36.0,0.0025,circle_n2_r1,ellipse_n2_r067,-0.0006359658602925755,-0.0009338702229735318,0.001,False,False,False,True,7.978845608028654,True,True,False,False,ellipse_n2_r067,ellipse_n2_r067,no_thresholded_reversal
36.0,0.005,circle_n2_r1,ellipse_n2_r067,-0.0006359658602925755,-0.00020835042982803031,0.001,False,False,False,True,5.641895835477563,True,True,True,False,ellipse_n2_r067,ellipse_n2_r067,no_thresholded_reversal
36.0,0.01,circle_n2_r1,ellipse_n2_r067,-0.0006359658602925755,-7.786272071541589e-09,0.001,False,False,False,False,3.989422804014327,False,True,False,False,ellipse_n2_r067,ellipse_n2_r067,no_thresholded_reversal
36.0,0.02,circle_n2_r1,ellipse_n2_r067,-0.0006359658602925755,-3.390221436916363e-11,0.001,False,False,False,False,2.8209479177387813,False,True,False,False,ellipse_n2_r067,ellipse_n2_r067,no_thresholded_reversal
36.0,0.04,circle_n2_r1,ellipse_n2_r067,-0.0006359658602925755,1.4402206094388248e-08,0.001,False,True,False,False,1.9947114020071635,False,True,False,False,ellipse_n2_r067,circle_n2_r1,no_thresholded_reversal
36.0,0.00125,circle_n2_r1,diamond_n12_r1,-0.00243466110600421,-0.0018450515312684601,0.001,True,False,False,True,11.283791670955125,True,True,False,False,diamond_n12_r1,diamond_n12_r1,no_thresholded_reversal
36.0,0.0025,circle_n2_r1,diamond_n12_r1,-0.00243466110600421,-0.0005062453594333327,0.001,True,False,False,True,7.978845608028654,True,True,False,False,diamond_n12_r1,diamond_n12_r1,no_thresholded_reversal
36.0,0.005,circle_n2_r1,diamond_n12_r1,-0.00243466110600421,-6.327160255992226e-05,0.001,True,False,False,True,5.641895835477563,True,True,True,False,diamond_n12_r1,diamond_n12_r1,no_thresholded_reversal
36.0,0.01,circle_n2_r1,diamond_n12_r1,-0.00243466110600421,6.492898663168489e-09,0.001,True,True,False,False,3.989422804014327,False,True,False,False,diamond_n12_r1,circle_n2_r1,no_thresholded_reversal
36.0,0.02,circle_n2_r1,diamond_n12_r1,-0.00243466110600421,3.7988900913887846e-10,0.001,True,True,False,False,2.8209479177387813,False,True,False,False,diamond_n12_r1,circle_n2_r1,no_thresholded_reversal
36.0,0.04,circle_n2_r1,diamond_n12_r1,-0.00243466110600421,1.1217851980660498e-08,0.001,True,True,False,False,1.9947114020071635,False,True,False,False,diamond_n12_r1,circle_n2_r1,no_thresholded_reversal
36.0,0.00125,circle_n2_r1,squircle_n4_r1,0.0009001744366408104,0.0004846512412224335,0.001,False,False,False,True,11.283791670955125,True,True,False,False,circle_n2_r1,circle_n2_r1,no_thresholded_reversal
36.0,0.0025,circle_n2_r1,squircle_n4_r1,0.0009001744366408104,5.018102013609749e-05,0.001,False,False,False,True,7.978845608028654,True,True,False,False,circle_n2_r1,circle_n2_r1,no_thresholded_reversal
36.0,0.005,circle_n2_r1,squircle_n4_r1,0.0009001744366408104,2.622518158190701e-08,0.001,False,False,False,True,5.641895835477563,True,True,True,False,circle_n2_r1,circle_n2_r1,no_thresholded_reversal
36.0,0.01,circle_n2_r1,squircle_n4_r1,0.0009001744366408104,-5.876712450003652e-10,0.001,False,True,False,False,3.989422804014327,False,True,False,False,circle_n2_r1,squircle_n4_r1,no_thresholded_reversal
36.0,0.02,circle_n2_r1,squircle_n4_r1,0.0009001744366408104,3.9404479679205906e-11,0.001,False,False,False,False,2.8209479177387813,False,True,False,False,circle_n2_r1,circle_n2_r1,no_thresholded_reversal
36.0,0.04,circle_n2_r1,squircle_n4_r1,0.0009001744366408104,9.460913386050152e-09,0.001,False,False,False,False,1.9947114020071635,False,True,False,False,circle_n2_r1,circle_n2_r1,no_thresholded_reversal
36.0,0.00125,ellipse_n2_r067,diamond_n12_r1,-0.0017986952457116345,0.0006575023460833052,0.001,True,True,False,True,11.283791670955125,True,False,False,False,diamond_n12_r1,ellipse_n2_r067,no_thresholded_reversal
36.0,0.0025,ellipse_n2_r067,diamond_n12_r1,-0.0017986952457116345,0.00042762486354019913,0.001,True,True,False,True,7.978845608028654,True,False,False,False,diamond_n12_r1,ellipse_n2_r067,no_thresholded_reversal
36.0,0.005,ellipse_n2_r067,diamond_n12_r1,-0.0017986952457116345,0.00014507882726810806,0.001,True,True,False,True,5.641895835477563,True,False,True,False,diamond_n12_r1,ellipse_n2_r067,no_thresholded_reversal
36.0,0.01,ellipse_n2_r067,diamond_n12_r1,-0.0017986952457116345,1.4279170734710078e-08,0.001,True,True,False,False,3.989422804014327,False,False,False,False,diamond_n12_r1,ellipse_n2_r067,no_thresholded_reversal
36.0,0.02,ellipse_n2_r067,diamond_n12_r1,-0.0017986952457116345,4.137912235080421e-10,0.001,True,True,False,False,2.8209479177387813,False,False,False,False,diamond_n12_r1,ellipse_n2_r067,no_thresholded_reversal
36.0,0.04,ellipse_n2_r067,diamond_n12_r1,-0.0017986952457116345,-3.1843541137277498e-09,0.001,True,False,False,False,1.9947114020071635,False,False,False,False,diamond_n12_r1,diamond_n12_r1,no_thresholded_reversal
36.0,0.00125,ellipse_n2_r067,squircle_n4_r1,0.001536140296933386,0.002987205118574199,0.001,True,False,False,True,11.283791670955125,True,False,False,False,ellipse_n2_r067,ellipse_n2_r067,no_thresholded_reversal
36.0,0.0025,ellipse_n2_r067,squircle_n4_r1,0.001536140296933386,0.0009840512431096293,0.001,True,False,False,True,7.978845608028654,True,False,False,False,ellipse_n2_r067,ellipse_n2_r067,no_thresholded_reversal
36.0,0.005,ellipse_n2_r067,squircle_n4_r1,0.001536140296933386,0.00020837665500961222,0.001,True,False,False,True,5.641895835477563,True,False,True,False,ellipse_n2_r067,ellipse_n2_r067,no_thresholded_reversal
36.0,0.01,ellipse_n2_r067,squircle_n4_r1,0.001536140296933386,7.198600826541224e-09,0.001,True,False,False,False,3.989422804014327,False,False,False,False,ellipse_n2_r067,ellipse_n2_r067,no_thresholded_reversal
36.0,0.02,ellipse_n2_r067,squircle_n4_r1,0.001536140296933386,7.330669404836954e-11,0.001,True,False,False,False,2.8209479177387813,False,False,False,False,ellipse_n2_r067,ellipse_n2_r067,no_thresholded_reversal
36.0,0.04,ellipse_n2_r067,squircle_n4_r1,0.001536140296933386,-4.9412927083380964e-09,0.001,True,True,False,False,1.9947114020071635,False,False,False,False,ellipse_n2_r067,squircle_n4_r1,no_thresholded_reversal
36.0,0.00125,diamond_n12_r1,squircle_n4_r1,0.0033348355426450205,0.0023297027724908936,0.001,True,False,False,True,11.283791670955125,True,False,False,False,diamond_n12_r1,diamond_n12_r1,no_thresholded_reversal
36.0,0.0025,diamond_n12_r1,squircle_n4_r1,0.0033348355426450205,0.0005564263795694302,0.001,True,False,False,True,7.978845608028654,True,False,False,False,diamond_n12_r1,diamond_n12_r1,no_thresholded_reversal
36.0,0.005,diamond_n12_r1,squircle_n4_r1,0.0033348355426450205,6.329782774150416e-05,0.001,True,False,False,True,5.641895835477563,True,False,True,False,diamond_n12_r1,diamond_n12_r1,no_thresholded_reversal
36.0,0.01,diamond_n12_r1,squircle_n4_r1,0.0033348355426450205,-7.0805699081688545e-09,0.001,True,True,False,False,3.989422804014327,False,False,False,False,diamond_n12_r1,squircle_n4_r1,no_thresholded_reversal
36.0,0.02,diamond_n12_r1,squircle_n4_r1,0.0033348355426450205,-3.4048452945967256e-10,0.001,True,True,False,False,2.8209479177387813,False,False,False,False,diamond_n12_r1,squircle_n4_r1,no_thresholded_reversal
36.0,0.04,diamond_n12_r1,squircle_n4_r1,0.0033348355426450205,-1.7569385946103466e-09,0.001,True,True,False,False,1.9947114020071635,False,False,False,False,diamond_n12_r1,squircle_n4_r1,no_thresholded_reversal
